<Property>
LANETYPE = 211
LANECODE = 07
BARRIER = 99
CODE = 1
----------
<Data>
x	y	z
302035.917000	4122721.668000	28.917000
302035.559000	4122721.884000	28.903000
302033.200000	4122722.301000	28.918000
302030.840000	4122722.718000	28.933000
302028.481000	4122723.135000	28.949000
302026.121000	4122723.552000	28.964000
302023.728000	4122723.986000	28.981000
302022.017000	4122724.288000	28.986000
302020.306000	4122724.590000	28.991000
302018.820000	4122724.862000	28.993000
302017.334000	4122725.134000	28.996000
302015.846000	4122725.413000	29.023000
302013.231000	4122725.908000	29.060000
302010.508000	4122726.433000	29.094000
302008.053000	4122726.878000	29.150000
302006.021000	4122727.252000	29.182000
302003.989000	4122727.625000	29.215000
302001.950000	4122727.998000	29.211000
301999.911000	4122728.371000	29.208000
301997.872000	4122728.744000	29.205000
301996.016000	4122729.084000	29.182000
301994.159000	4122729.424000	29.159000
301991.661000	4122729.908000	29.147000
301989.431000	4122730.362000	29.112000
301987.201000	4122730.817000	29.078000
301984.971000	4122731.271000	29.043000
301982.742000	4122731.725000	29.009000
301980.455000	4122732.686000	28.997000
301980.199000	4122732.895000	29.015000
