<Property>
ROADTYPE = 1
CODE = 5


----------
<Data>
x	y	z
302396.979000	4124483.757000	28.293000
302399.652000	4124484.481000	28.292000
302401.685000	4124484.932000	28.295000
302402.925000	4124485.174000	28.296000
302404.777000	4124485.481000	28.302000
302407.067000	4124485.867000	28.281000
302409.857000	4124486.211000	28.289000
302410.410000	4124486.267000	28.291000
302413.259000	4124486.427000	28.289000
302413.824000	4124486.446000	28.289000
302416.818000	4124486.495000	28.282000
302418.498000	4124486.517000	28.278000
302421.491000	4124486.533000	28.286000
302423.260000	4124486.543000	28.291000
302426.251000	4124486.547000	28.296000
302429.238000	4124486.550000	28.302000
302429.334000	4124486.551000	28.302000
302432.089000	4124486.567000	28.309000
302433.224000	4124486.573000	28.312000
