<Property>
ROADTYPE = 1
CODE = 5


----------
<Data>
x	y	z
302262.466000	4123923.710000	28.432000
302262.466000	4123923.700000	28.432000
302262.468000	4123923.010000	28.432000
302262.471000	4123921.441000	28.433000
302262.475000	4123920.008000	28.433000
302262.479000	4123918.443000	28.433000
302262.483000	4123917.006000	28.433000
302262.486000	4123915.445000	28.433000
302262.490000	4123914.004000	28.433000
302262.494000	4123912.447000	28.434000
302262.496000	4123911.521000	28.434000
302262.498000	4123911.002000	28.434000
302262.501000	4123909.450000	28.434000
302262.505000	4123908.000000	28.434000
302262.509000	4123906.452000	28.434000
302262.512000	4123904.998000	28.434000
302262.516000	4123903.454000	28.434000
302262.519000	4123901.996000	28.435000
302262.523000	4123900.456000	28.435000
302262.527000	4123898.994000	28.435000
302262.530000	4123897.458000	28.435000
302262.532000	4123896.879000	28.436000
302262.535000	4123895.411000	28.437000
302262.539000	4123893.879000	28.437000
302262.543000	4123892.408000	28.439000
302262.546000	4123890.880000	28.439000
302262.550000	4123889.405000	28.440000
302262.554000	4123887.880000	28.440000
302262.557000	4123886.402000	28.442000
302262.561000	4123884.880000	28.442000
302262.564000	4123883.479000	28.442000
302262.568000	4123882.131000	28.442000
302262.568000	4123882.053000	28.442000
