<Property>
LANETYPE = 211
LANECODE = 07
BARRIER = 99
CODE = 1
----------
<Data>
x	y	z
302013.274000	4124670.388000	29.149000
302012.484000	4124668.601000	29.099000
302011.272000	4124665.858000	29.021000
302010.224000	4124663.314000	28.959000
302009.082000	4124660.540000	28.891000
302009.056000	4124660.479000	28.889000
302007.892000	4124657.715000	28.815000
302007.892000	4124657.715000	28.815000
302007.600000	4124656.107000	28.788000
302007.491000	4124655.030000	28.789000
302007.515000	4124654.042000	28.795000
302007.631000	4124653.275000	28.797000
302007.886000	4124652.585000	28.777000
302008.231000	4124651.933000	28.751000
302008.716000	4124651.315000	28.754000
302009.283000	4124650.717000	28.746000
302009.956000	4124650.186000	28.733000
302010.632000	4124649.791000	28.725000
302011.318000	4124649.470000	28.728000
302011.861000	4124649.311000	28.722000
302012.590000	4124649.116000	28.714000
302013.550000	4124648.982000	28.733000
302014.258000	4124648.955000	28.732000
302015.249000	4124648.922000	28.728000
302016.063000	4124648.940000	28.729000
302016.925000	4124648.961000	28.720000
302017.738000	4124649.007000	28.704000
302018.505000	4124649.088000	28.724000
302019.460000	4124649.196000	28.748000
302020.367000	4124649.352000	28.738000
302021.335000	4124649.485000	28.725000
302022.323000	4124649.686000	28.732000
302023.232000	4124649.880000	28.707000
302024.174000	4124650.126000	28.689000
302024.960000	4124650.308000	28.709000
302025.812000	4124650.590000	28.733000
302026.637000	4124650.859000	28.718000
302027.548000	4124651.191000	28.715000
302028.211000	4124651.487000	28.726000
302028.968000	4124651.794000	28.749000
302029.454000	4124652.021000	28.755000
302030.477000	4124652.547000	28.767000
302030.918000	4124652.765000	28.754000
302031.661000	4124653.190000	28.751000
302032.608000	4124653.745000	28.756000
302033.382000	4124654.284000	28.758000
302034.031000	4124654.705000	28.756000
302035.116000	4124655.560000	28.778000
302035.776000	4124656.108000	28.787000
302036.465000	4124656.756000	28.790000
302037.247000	4124657.492000	28.792000
302037.884000	4124658.049000	28.799000
302038.561000	4124658.776000	28.799000
302039.273000	4124659.478000	28.804000
302039.828000	4124660.094000	28.806000
302040.558000	4124660.973000	28.799000
302041.191000	4124661.801000	28.799000
302041.777000	4124662.524000	28.805000
302042.356000	4124663.372000	28.812000
302042.889000	4124664.184000	28.800000
302043.436000	4124665.167000	28.782000
302043.945000	4124666.085000	28.771000
302044.303000	4124666.874000	28.754000
302044.681000	4124667.701000	28.780000
302045.040000	4124668.564000	28.795000
302045.446000	4124669.610000	28.792000
302045.816000	4124670.630000	28.792000
302046.122000	4124671.681000	28.800000
302046.402000	4124672.649000	28.794000
302046.676000	4124673.778000	28.782000
302046.901000	4124674.793000	28.784000
302047.067000	4124675.930000	28.782000
302047.238000	4124676.887000	28.771000
302047.378000	4124678.100000	28.775000
302047.452000	4124679.100000	28.773000
302047.493000	4124680.234000	28.779000
302047.510000	4124681.093000	28.780000
302047.450000	4124682.226000	28.777000
302047.409000	4124683.113000	28.786000
302047.338000	4124683.981000	28.783000
302047.219000	4124684.809000	28.784000
302047.150000	4124685.572000	28.784000
302046.927000	4124686.615000	28.780000
302046.771000	4124687.503000	28.779000
302046.581000	4124688.346000	28.782000
302046.383000	4124689.113000	28.784000
302046.185000	4124689.817000	28.800000
302045.943000	4124690.580000	28.801000
302045.577000	4124691.619000	28.782000
302045.397000	4124692.101000	28.785000
302045.207000	4124692.568000	28.782000
302044.932000	4124693.223000	28.794000
302044.633000	4124693.922000	28.774000
302044.288000	4124694.645000	28.760000
302043.938000	4124695.285000	28.767000
302043.577000	4124695.923000	28.764000
302043.229000	4124696.565000	28.761000
302042.836000	4124697.258000	28.770000
302042.603000	4124697.649000	28.772000
302041.887000	4124698.774000	28.765000
302040.927000	4124700.106000	28.768000
302040.606000	4124700.524000	28.762000
302040.265000	4124700.936000	28.767000
302039.909000	4124701.328000	28.770000
302039.539000	4124701.765000	28.772000
302039.180000	4124702.180000	28.769000
302038.786000	4124702.599000	28.775000
302038.571000	4124702.814000	28.808000
302037.938000	4124703.427000	28.806000
302037.343000	4124704.039000	28.805000
302036.821000	4124704.514000	28.805000
302036.297000	4124704.932000	28.805000
302035.809000	4124705.358000	28.797000
302035.341000	4124705.732000	28.799000
302034.817000	4124706.120000	28.800000
302034.347000	4124706.465000	28.793000
302033.670000	4124706.926000	28.795000
302033.128000	4124707.278000	28.797000
302032.550000	4124707.653000	28.787000
302032.019000	4124707.973000	28.789000
302031.641000	4124708.189000	28.783000
302031.085000	4124708.529000	28.782000
302030.142000	4124709.061000	28.780000
302029.563000	4124709.365000	28.780000
302028.940000	4124709.676000	28.782000
302028.295000	4124709.960000	28.792000
302027.705000	4124710.223000	28.780000
302027.130000	4124710.459000	28.767000
302026.536000	4124710.700000	28.759000
302025.927000	4124710.912000	28.760000
