<Property>
LANETYPE = 211
LANECODE = 07
BARRIER = 99
CODE = 1
----------
<Data>
x	y	z
302416.829000	4123640.305000	28.295000
302418.571000	4123639.657000	28.325000
302420.321000	4123638.933000	28.352000
302421.525000	4123638.334000	28.363000
302423.011000	4123637.540000	28.379000
302424.257000	4123636.829000	28.392000
302425.774000	4123635.899000	28.404000
302427.569000	4123634.666000	28.408000
302428.588000	4123633.937000	28.417000
302429.368000	4123633.263000	28.421000
302430.743000	4123632.046000	28.441000
302432.562000	4123630.252000	28.444000
302433.355000	4123629.334000	28.468000
302434.722000	4123627.567000	28.470000
302435.815000	4123626.063000	28.545000
302436.725000	4123624.703000	28.549000
302438.359000	4123622.187000	28.560000
302438.452000	4123622.043000	28.561000
302439.021000	4123621.163000	28.563000
302439.867000	4123619.958000	28.568000
302440.754000	4123618.731000	28.570000
302442.177000	4123616.925000	28.570000
302443.832000	4123614.905000	28.574000
302445.179000	4123613.363000	28.575000
302446.040000	4123612.382000	28.574000
302447.029000	4123611.358000	28.573000
302448.311000	4123610.088000	28.568000
302449.405000	4123609.062000	28.568000
302450.500000	4123608.037000	28.568000
302450.674000	4123607.873000	28.568000
302452.750000	4123606.063000	28.570000
302454.252000	4123604.785000	28.574000
302455.796000	4123603.495000	28.574000
302457.566000	4123602.104000	28.577000
302459.199000	4123600.857000	28.577000
302460.274000	4123600.122000	28.578000
302461.611000	4123599.172000	28.573000
302462.597000	4123598.535000	28.574000
302463.674000	4123597.834000	28.566000
302465.634000	4123596.673000	28.565000
302467.093000	4123595.895000	28.564000
302468.464000	4123595.220000	28.564000
302469.668000	4123594.668000	28.563000
302471.032000	4123594.091000	28.561000
302472.738000	4123593.457000	28.557000
302475.370000	4123592.533000	28.551000
302477.789000	4123591.789000	28.550000
302479.412000	4123591.353000	28.546000
302480.656000	4123591.042000	28.547000
302482.525000	4123590.675000	28.548000
302485.024000	4123590.224000	28.546000
302487.106000	4123589.945000	28.544000
302488.757000	4123589.747000	28.543000
302490.287000	4123589.606000	28.544000
302491.931000	4123589.515000	28.544000
302493.960000	4123589.490000	28.545000
302495.675000	4123589.489000	28.548000
302497.289000	4123589.575000	28.551000
302498.710000	4123589.654000	28.554000
302499.853000	4123589.730000	28.555000
302501.853000	4123589.961000	28.553000
302503.799000	4123590.196000	28.559000
302505.322000	4123590.473000	28.562000
302506.778000	4123590.758000	28.565000
302507.841000	4123590.958000	28.563000
302509.078000	4123591.206000	28.561000
302510.435000	4123591.552000	28.567000
302511.781000	4123591.939000	28.570000
302512.947000	4123592.276000	28.571000
302513.947000	4123592.551000	28.565000
302515.080000	4123592.911000	28.557000
302516.483000	4123593.418000	28.546000
302518.498000	4123594.168000	28.545000
302520.089000	4123594.803000	28.541000
302521.539000	4123595.442000	28.541000
302522.866000	4123596.066000	28.538000
302523.809000	4123596.518000	28.533000
302525.133000	4123597.223000	28.526000
302526.457000	4123597.928000	28.519000
302527.782000	4123598.632000	28.512000
302529.106000	4123599.337000	28.505000
302531.754000	4123600.746000	28.491000
302531.847000	4123600.796000	28.491000
302534.490000	4123602.213000	28.485000
302535.812000	4123602.922000	28.482000
302537.134000	4123603.631000	28.479000
302539.778000	4123605.049000	28.473000
302542.422000	4123606.467000	28.468000
302544.634000	4123607.653000	28.463000
302545.956000	4123608.362000	28.463000
302547.278000	4123609.071000	28.463000
302549.922000	4123610.488000	28.462000
302552.567000	4123611.905000	28.461000
302553.889000	4123612.614000	28.461000
302555.211000	4123613.323000	28.461000
302557.855000	4123614.740000	28.460000
302559.177000	4123615.449000	28.460000
302560.499000	4123616.158000	28.460000
302563.143000	4123617.575000	28.459000
302564.465000	4123618.283000	28.459000
302565.787000	4123618.992000	28.458000
302566.098000	4123619.159000	28.458000
302568.737000	4123620.585000	28.466000
302570.057000	4123621.298000	28.470000
302571.376000	4123622.012000	28.474000
302574.015000	4123623.438000	28.482000
302575.335000	4123624.151000	28.485000
302576.655000	4123624.864000	28.489000
302577.974000	4123625.577000	28.493000
302579.294000	4123626.291000	28.497000
302579.474000	4123626.388000	28.498000
302580.797000	4123627.095000	28.502000
302582.120000	4123627.801000	28.506000
302583.443000	4123628.508000	28.511000
302584.767000	4123629.215000	28.515000
302586.090000	4123629.921000	28.519000
302587.413000	4123630.628000	28.524000
302590.059000	4123632.041000	28.532000
302592.705000	4123633.454000	28.541000
302594.028000	4123634.161000	28.545000
302595.351000	4123634.868000	28.550000
302597.998000	4123636.281000	28.559000
302600.230000	4123637.473000	28.566000
302602.874000	4123638.890000	28.584000
302604.197000	4123639.599000	28.594000
302605.519000	4123640.307000	28.603000
302607.025000	4123641.114000	28.613000
302608.345000	4123641.826000	28.621000
302609.665000	4123642.538000	28.628000
302611.812000	4123643.696000	28.640000
302614.125000	4123644.970000	28.660000
302616.001000	4123646.002000	28.676000
302618.622000	4123647.462000	28.704000
302618.732000	4123647.523000	28.705000
302620.367000	4123648.463000	28.718000
302622.483000	4123649.783000	28.741000
302624.985000	4123651.438000	28.762000
302625.077000	4123651.499000	28.763000
302626.616000	4123652.527000	28.777000
302627.849000	4123653.383000	28.783000
302629.081000	4123654.238000	28.789000
302629.202000	4123654.322000	28.790000
302631.522000	4123655.957000	28.794000
302633.403000	4123657.336000	28.797000
302634.620000	4123658.267000	28.798000
302635.976000	4123659.364000	28.798000
302637.342000	4123660.454000	28.800000
302638.679000	4123661.631000	28.798000
302640.052000	4123662.826000	28.798000
302641.248000	4123663.893000	28.801000
302642.454000	4123664.997000	28.802000
302643.902000	4123666.394000	28.799000
302645.371000	4123667.877000	28.799000
302646.544000	4123669.094000	28.799000
302647.629000	4123670.208000	28.793000
302648.915000	4123671.583000	28.787000
302650.353000	4123673.181000	28.781000
302651.818000	4123674.915000	28.780000
302653.253000	4123676.690000	28.782000
302654.076000	4123677.735000	28.785000
302654.675000	4123678.496000	28.787000
302656.001000	4123680.238000	28.792000
302657.112000	4123681.722000	28.793000
302658.133000	4123683.096000	28.796000
302658.983000	4123684.332000	28.796000
302659.833000	4123685.567000	28.795000
302660.536000	4123686.588000	28.795000
302662.094000	4123689.068000	28.796000
302663.653000	4123691.569000	28.802000
302664.390000	4123692.875000	28.802000
302665.127000	4123694.182000	28.802000
302665.131000	4123694.188000	28.802000
302666.427000	4123696.523000	28.805000
302667.357000	4123698.291000	28.800000
302668.647000	4123700.928000	28.795000
302669.270000	4123702.293000	28.794000
302669.892000	4123703.657000	28.794000
