<Property>
ROADTYPE = 1
CODE = 5


----------
<Data>
x	y	z
302452.869000	4123356.755000	28.471000
302452.881000	4123356.755000	28.471000
302452.905000	4123356.755000	28.471000
302453.540000	4123356.758000	28.471000
302454.176000	4123356.761000	28.471000
302455.637000	4123356.769000	28.472000
302456.530000	4123356.774000	28.473000
302457.394000	4123356.778000	28.473000
302458.257000	4123356.783000	28.473000
302458.637000	4123356.785000	28.473000
302458.912000	4123356.786000	28.473000
302460.600000	4123356.796000	28.474000
302461.912000	4123356.804000	28.475000
302462.297000	4123356.806000	28.476000
302463.806000	4123356.815000	28.477000
302464.912000	4123356.821000	28.477000
302466.141000	4123356.828000	28.478000
302467.652000	4123356.837000	28.479000
302467.912000	4123356.839000	28.480000
302468.349000	4123356.841000	28.480000
302470.912000	4123356.856000	28.482000
302471.403000	4123356.859000	28.482000
302472.100000	4123356.863000	28.483000
302473.339000	4123356.870000	28.483000
302473.911000	4123356.874000	28.484000
302475.105000	4123356.880000	28.485000
302476.911000	4123356.891000	28.486000
302477.514000	4123356.895000	28.486000
302479.139000	4123356.904000	28.488000
302479.911000	4123356.909000	28.488000
302481.540000	4123356.918000	28.489000
302482.354000	4123356.923000	28.490000
302482.911000	4123356.926000	28.490000
302483.169000	4123356.928000	28.490000
302483.847000	4123356.931000	28.491000
302484.526000	4123356.935000	28.491000
302485.911000	4123356.944000	28.492000
302487.776000	4123356.954000	28.494000
302488.128000	4123356.956000	28.494000
302489.143000	4123356.965000	28.495000
302490.509000	4123356.976000	28.496000
302491.128000	4123356.980000	28.496000
302493.562000	4123357.000000	28.496000
302494.128000	4123357.005000	28.497000
302495.314000	4123357.014000	28.497000
302496.186000	4123357.021000	28.497000
302497.057000	4123357.028000	28.498000
302497.127000	4123357.029000	28.498000
302500.072000	4123357.052000	28.499000
302500.127000	4123357.053000	28.499000
302501.284000	4123357.062000	28.499000
302502.492000	4123357.072000	28.499000
302503.127000	4123357.077000	28.500000
302505.550000	4123357.096000	28.500000
302506.127000	4123357.101000	28.500000
302506.509000	4123357.104000	28.500000
302507.560000	4123357.110000	28.501000
302509.508000	4123357.121000	28.501000
302510.710000	4123357.128000	28.502000
302512.508000	4123357.139000	28.502000
302514.110000	4123357.149000	28.503000
302514.899000	4123357.153000	28.503000
302515.125000	4123357.154000	28.503000
302516.140000	4123357.160000	28.503000
302517.240000	4123357.166000	28.504000
302517.899000	4123357.170000	28.504000
302518.339000	4123357.173000	28.504000
302520.899000	4123357.187000	28.505000
302523.899000	4123357.204000	28.505000
302526.213000	4123357.217000	28.506000
302526.899000	4123357.221000	28.506000
302528.425000	4123357.230000	28.507000
302529.899000	4123357.238000	28.506000
302530.752000	4123357.243000	28.506000
302532.899000	4123357.255000	28.506000
302533.072000	4123357.256000	28.506000
302533.232000	4123357.257000	28.506000
302534.732000	4123357.265000	28.506000
302536.232000	4123357.274000	28.507000
302536.314000	4123357.274000	28.507000
302536.334000	4123357.274000	28.507000
302537.051000	4123357.280000	28.506000
302537.765000	4123357.286000	28.506000
302539.314000	4123357.299000	28.507000
302540.865000	4123357.311000	28.507000
302541.724000	4123357.318000	28.507000
302543.072000	4123357.323000	28.507000
302544.724000	4123357.329000	28.506000
302545.296000	4123357.331000	28.506000
302545.520000	4123357.332000	28.506000
302548.296000	4123357.349000	28.507000
302548.692000	4123357.351000	28.507000
302549.398000	4123357.356000	28.508000
302550.107000	4123357.360000	28.510000
302551.271000	4123357.367000	28.512000
302551.296000	4123357.367000	28.512000
302554.296000	4123357.385000	28.513000
302554.496000	4123357.386000	28.513000
302555.659000	4123357.393000	28.515000
302556.357000	4123357.397000	28.516000
302557.296000	4123357.403000	28.520000
302557.413000	4123357.404000	28.520000
302558.108000	4123357.408000	28.521000
302558.586000	4123357.411000	28.521000
302559.642000	4123357.417000	28.523000
302560.296000	4123357.421000	28.527000
302561.238000	4123357.427000	28.532000
302562.489000	4123357.409000	28.539000
302563.300000	4123357.398000	28.537000
302563.544000	4123357.393000	28.536000
302563.826000	4123357.388000	28.536000
302565.088000	4123357.363000	28.524000
302565.089000	4123357.362000	28.524000
302566.463000	4123357.246000	28.520000
302566.982000	4123357.202000	28.521000
302567.065000	4123357.195000	28.521000
302567.561000	4123357.112000	28.519000
302568.250000	4123356.997000	28.518000
302568.829000	4123356.900000	28.516000
302569.685000	4123356.757000	28.515000
302569.821000	4123356.734000	28.515000
302570.394000	4123356.593000	28.515000
302571.132000	4123356.411000	28.517000
302571.289000	4123356.373000	28.516000
302571.836000	4123356.158000	28.510000
302572.388000	4123355.941000	28.506000
302572.470000	4123355.909000	28.506000
302572.926000	4123355.699000	28.505000
302573.698000	4123355.344000	28.509000
302573.767000	4123355.312000	28.508000
302574.331000	4123354.988000	28.503000
302574.894000	4123354.664000	28.510000
302575.456000	4123354.340000	28.510000
302575.560000	4123354.280000	28.510000
302575.873000	4123354.034000	28.509000
302576.173000	4123353.798000	28.512000
302576.174000	4123353.798000	28.512000
