<Property>
LANETYPE = 211
LANECODE = 07
BARRIER = 99
CODE = 1
----------
<Data>
x	y	z
302285.582000	4123383.138000	28.288000
302285.592000	4123386.137000	28.252000
302285.601000	4123388.591000	28.222000
302285.672000	4123391.590000	28.232000
302285.676000	4123391.770000	28.233000
302285.762000	4123392.423000	28.245000
302286.067000	4123393.268000	28.255000
302286.545000	4123394.322000	28.247000
302287.623000	4123395.488000	28.201000
302288.558000	4123396.165000	28.163000
302289.528000	4123396.661000	28.123000
302290.556000	4123397.062000	28.094000
302291.574000	4123397.339000	28.065000
302293.363000	4123397.678000	28.043000
302295.388000	4123397.770000	27.965000
302297.887000	4123397.686000	27.928000
302299.534000	4123397.532000	27.919000
302301.988000	4123397.084000	27.844000
302304.001000	4123396.550000	27.824000
302305.999000	4123395.777000	27.789000
