<Property>
LANETYPE = 212
LANECODE = 03
BARRIER = 99
CODE = 1
----------
<Data>
x	y	z
302598.811000	4124057.715000	28.441000
302598.821000	4124060.709000	28.444000
302598.828000	4124062.388000	28.445000
302598.819000	4124065.375000	28.446000
302598.817000	4124066.011000	28.446000
