<Property>
LANETYPE = 211
LANECODE = 07
BARRIER = 99
CODE = 1
----------
<Data>
x	y	z
302288.286000	4124700.664000	28.423000
302289.205000	4124700.770000	28.434000
302289.681000	4124700.727000	28.434000
302290.080000	4124700.599000	28.426000
302290.379000	4124700.397000	28.426000
302290.656000	4124700.004000	28.450000
302290.656000	4124700.004000	28.380000
302291.206000	4124699.170000	28.394000
302291.206000	4124699.170000	28.394000
302291.409000	4124698.515000	28.469000
302291.476000	4124697.993000	28.473000
302291.490000	4124697.148000	28.482000
302291.323000	4124696.376000	28.489000
302291.120000	4124695.889000	28.489000
302291.050000	4124695.771000	28.490000
