<Property>
LANETYPE = 111
LANECODE = 01
BARRIER = 99
CODE = 1
----------
<Data>
x	y	z
302059.446000	4122477.982000	28.984000
302058.870000	4122475.038000	28.976000
302058.757000	4122474.462000	28.975000
302058.510000	4122472.740000	28.975000
302058.460000	4122471.166000	28.990000
302058.597000	4122469.422000	29.005000
302059.001000	4122467.342000	29.026000
302059.690000	4122465.642000	29.026000
302060.456000	4122464.261000	29.028000
302061.665000	4122462.696000	29.026000
302062.787000	4122461.496000	29.014000
302064.173000	4122460.374000	29.002000
302065.866000	4122459.397000	28.991000
302067.151000	4122458.886000	28.978000
302070.087000	4122458.270000	28.945000
302072.542000	4122457.755000	28.917000
302075.499000	4122457.249000	28.914000
302078.456000	4122456.743000	28.910000
302081.413000	4122456.237000	28.907000
302084.370000	4122455.731000	28.903000
302087.327000	4122455.225000	28.900000
302088.961000	4122454.946000	28.898000
302091.918000	4122454.437000	28.882000
302094.874000	4122453.928000	28.865000
302097.831000	4122453.420000	28.849000
302100.787000	4122452.911000	28.833000
302103.744000	4122452.402000	28.817000
302106.700000	4122451.893000	28.801000
302109.657000	4122451.384000	28.784000
302111.709000	4122451.031000	28.773000
302114.669000	4122450.542000	28.766000
302117.628000	4122450.052000	28.758000
302120.588000	4122449.563000	28.751000
302123.548000	4122449.073000	28.744000
302126.508000	4122448.583000	28.736000
302129.467000	4122448.094000	28.729000
302130.454000	4122447.931000	28.726000
