<Property>
LANETYPE = 211
LANECODE = 07
BARRIER = 99
CODE = 1
----------
<Data>
x	y	z
302835.206000	4123326.269000	28.550000
302835.687000	4123326.800000	28.547000
302836.457000	4123328.087000	28.542000
302837.227000	4123329.375000	28.538000
302837.586000	4123329.976000	28.536000
302838.625000	4123332.790000	28.472000
302838.627000	4123332.795000	28.472000
302838.917000	4123333.908000	28.471000
302839.155000	4123334.888000	28.472000
302839.434000	4123336.212000	28.464000
302839.552000	4123337.405000	28.464000
302839.663000	4123338.689000	28.464000
302839.664000	4123339.911000	28.469000
302839.645000	4123341.201000	28.465000
302839.530000	4123342.709000	28.469000
302839.352000	4123344.125000	28.464000
302838.993000	4123345.958000	28.461000
302838.835000	4123346.544000	28.463000
302838.552000	4123347.614000	28.455000
302838.204000	4123348.631000	28.450000
302837.736000	4123349.795000	28.444000
302837.283000	4123350.816000	28.445000
302836.826000	4123351.697000	28.440000
302836.412000	4123352.389000	28.440000
302836.075000	4123352.969000	28.441000
302835.483000	4123353.727000	28.440000
302834.866000	4123354.514000	28.437000
302833.998000	4123355.478000	28.442000
302833.369000	4123356.111000	28.440000
302832.635000	4123356.756000	28.448000
302831.949000	4123357.395000	28.447000
302830.967000	4123358.140000	28.455000
302830.117000	4123358.796000	28.454000
302829.473000	4123359.247000	28.451000
302828.412000	4123359.807000	28.457000
302826.956000	4123360.569000	28.444000
302825.503000	4123361.220000	28.430000
302824.232000	4123361.670000	28.420000
302822.554000	4123362.193000	28.394000
302820.825000	4123362.651000	28.346000
302819.718000	4123362.904000	28.321000
302818.019000	4123363.168000	28.262000
302816.640000	4123363.261000	28.213000
302814.972000	4123363.331000	28.130000
302814.210000	4123363.377000	28.081000
