<Property>
LANETYPE = 211
LANECODE = 07
BARRIER = 99
CODE = 1
----------
<Data>
x	y	z
302306.942000	4123959.065000	28.477000
302306.931000	4123961.065000	28.477000
302306.924000	4123962.565000	28.477000
302306.916000	4123964.065000	28.478000
302306.908000	4123965.565000	28.478000
302306.900000	4123967.065000	28.478000
302306.884000	4123970.065000	28.479000
302306.877000	4123971.565000	28.479000
302306.869000	4123973.065000	28.480000
302306.853000	4123976.065000	28.480000
302306.845000	4123977.565000	28.480000
302306.837000	4123979.065000	28.481000
302306.829000	4123980.565000	28.481000
302306.822000	4123982.065000	28.481000
302306.806000	4123985.065000	28.482000
302306.798000	4123986.565000	28.482000
302306.790000	4123988.065000	28.483000
302306.782000	4123989.565000	28.483000
302306.774000	4123991.065000	28.483000
302306.759000	4123994.065000	28.484000
302306.743000	4123997.065000	28.484000
302306.735000	4123998.565000	28.485000
302306.727000	4124000.065000	28.485000
302306.712000	4124003.065000	28.486000
302306.696000	4124006.065000	28.486000
302306.680000	4124009.065000	28.487000
302306.672000	4124010.565000	28.487000
302306.665000	4124012.065000	28.487000
302306.649000	4124015.065000	28.488000
302306.633000	4124018.065000	28.489000
302306.618000	4124021.064000	28.489000
302306.602000	4124024.064000	28.490000
302306.594000	4124025.564000	28.490000
302306.586000	4124027.064000	28.490000
302306.578000	4124028.564000	28.491000
302306.570000	4124030.064000	28.491000
302306.555000	4124033.064000	28.492000
302306.547000	4124034.564000	28.492000
302306.539000	4124036.064000	28.492000
302306.523000	4124039.064000	28.493000
302306.516000	4124040.564000	28.493000
302306.508000	4124042.064000	28.493000
302306.492000	4124045.064000	28.494000
302306.484000	4124046.564000	28.494000
302306.476000	4124048.064000	28.495000
302306.468000	4124049.564000	28.495000
302306.461000	4124051.064000	28.495000
302306.445000	4124054.064000	28.496000
302306.437000	4124055.564000	28.496000
302306.429000	4124057.064000	28.496000
302306.421000	4124058.564000	28.497000
302306.413000	4124060.064000	28.497000
302306.406000	4124061.564000	28.497000
302306.398000	4124063.064000	28.498000
302306.390000	4124064.564000	28.498000
302306.382000	4124066.064000	28.498000
302306.366000	4124069.064000	28.499000
302306.359000	4124070.564000	28.499000
302306.351000	4124072.064000	28.499000
302306.343000	4124073.564000	28.500000
302306.335000	4124075.064000	28.500000
302306.327000	4124076.564000	28.500000
302306.319000	4124078.064000	28.501000
302306.304000	4124081.064000	28.501000
302306.296000	4124082.564000	28.502000
302306.288000	4124084.064000	28.502000
302306.272000	4124087.064000	28.502000
302306.264000	4124088.564000	28.503000
302306.257000	4124090.064000	28.503000
302306.249000	4124091.564000	28.503000
302306.241000	4124093.063000	28.504000
302306.225000	4124096.063000	28.504000
302306.209000	4124099.063000	28.505000
302306.194000	4124102.063000	28.505000
302306.178000	4124105.063000	28.506000
302306.170000	4124106.563000	28.506000
302306.162000	4124108.063000	28.507000
302306.147000	4124111.063000	28.507000
302306.131000	4124114.063000	28.508000
302306.115000	4124117.063000	28.509000
302306.107000	4124118.563000	28.509000
302306.100000	4124120.063000	28.509000
302306.084000	4124123.063000	28.510000
302306.068000	4124126.063000	28.510000
302306.060000	4124127.563000	28.511000
302306.053000	4124129.063000	28.511000
302306.037000	4124132.063000	28.512000
302306.029000	4124133.563000	28.512000
302306.021000	4124135.063000	28.512000
302306.005000	4124138.063000	28.513000
302305.998000	4124139.563000	28.513000
302305.990000	4124141.063000	28.513000
302305.982000	4124142.563000	28.514000
302305.974000	4124144.063000	28.514000
302305.958000	4124147.063000	28.515000
302305.950000	4124148.563000	28.515000
302305.943000	4124150.063000	28.515000
302305.927000	4124153.063000	28.516000
302305.919000	4124154.563000	28.516000
302305.911000	4124156.063000	28.516000
302305.903000	4124157.563000	28.517000
302305.896000	4124159.063000	28.517000
