<Property>
LANETYPE = 212
LANECODE = 03
BARRIER = 99
CODE = 1
----------
<Data>
x	y	z
302760.861000	4123330.767000	29.167000
302760.183000	4123330.234000	29.170000
302759.387000	4123329.437000	29.165000
302758.689000	4123328.588000	29.163000
302758.113000	4123327.787000	29.167000
302757.610000	4123326.933000	29.166000
302756.971000	4123325.678000	29.170000
302756.567000	4123324.499000	29.173000
302756.289000	4123323.466000	29.176000
302756.079000	4123322.385000	29.182000
302755.938000	4123321.286000	29.176000
302755.854000	4123319.964000	29.171000
302755.922000	4123318.775000	29.160000
302756.036000	4123317.882000	29.140000
302756.224000	4123316.901000	29.167000
302756.509000	4123315.807000	29.172000
302756.994000	4123314.292000	29.174000
302757.481000	4123313.207000	29.186000
302758.224000	4123312.051000	29.186000
302758.739000	4123311.343000	29.157000
302759.174000	4123310.805000	29.165000
302759.581000	4123310.352000	29.168000
302760.029000	4123309.879000	29.171000
302760.584000	4123309.381000	29.164000
302761.210000	4123308.845000	29.190000
302762.116000	4123308.166000	29.181000
302763.124000	4123307.530000	29.178000
302763.845000	4123307.163000	29.152000
302764.690000	4123306.804000	29.143000
302765.218000	4123306.593000	29.139000
302765.749000	4123306.403000	29.134000
302766.346000	4123306.228000	29.124000
302767.059000	4123306.041000	29.118000
302767.945000	4123305.874000	29.126000
302768.874000	4123305.766000	29.107000
302769.873000	4123305.736000	29.128000
302770.810000	4123305.735000	29.110000
302771.565000	4123305.801000	29.110000
302772.220000	4123305.868000	29.127000
302773.090000	4123306.075000	29.124000
302773.642000	4123306.244000	29.092000
302774.406000	4123306.458000	29.122000
302775.216000	4123306.754000	29.115000
302775.954000	4123307.053000	29.089000
302776.944000	4123307.521000	29.111000
302777.834000	4123307.995000	29.100000
302778.631000	4123308.504000	29.096000
302779.410000	4123309.126000	29.106000
302780.009000	4123309.652000	29.112000
302780.419000	4123310.066000	29.088000
302780.980000	4123310.667000	29.109000
302781.533000	4123311.343000	29.113000
302782.022000	4123312.017000	29.084000
302782.657000	4123312.858000	29.117000
302783.212000	4123313.747000	29.086000
302783.529000	4123314.503000	29.126000
302783.863000	4123315.548000	29.129000
302784.106000	4123316.680000	29.130000
302784.273000	4123317.801000	29.134000
302784.368000	4123318.947000	29.139000
302784.282000	4123320.432000	29.142000
302784.207000	4123321.248000	29.144000
302784.055000	4123322.293000	29.146000
302783.914000	4123323.256000	29.139000
302783.675000	4123324.287000	29.137000
302783.442000	4123324.902000	29.100000
302782.583000	4123326.692000	29.167000
302781.825000	4123327.893000	29.172000
302781.024000	4123328.968000	29.166000
302779.931000	4123330.169000	29.164000
302779.162000	4123330.938000	29.161000
302778.235000	4123331.598000	29.166000
302777.356000	4123332.130000	29.151000
302776.055000	4123332.785000	29.153000
302774.382000	4123333.474000	29.150000
302773.021000	4123333.837000	29.133000
302771.670000	4123334.034000	29.160000
302770.123000	4123334.123000	29.158000
302768.674000	4123334.090000	29.160000
302767.621000	4123333.948000	29.163000
302766.637000	4123333.761000	29.166000
302765.501000	4123333.467000	29.164000
302764.491000	4123333.080000	29.166000
302763.325000	4123332.484000	29.164000
302762.708000	4123332.091000	29.171000
302761.759000	4123331.493000	29.162000
302760.861000	4123330.767000	29.167000
