<Property>
LANETYPE = 211
LANECODE = 07
BARRIER = 99
CODE = 1
----------
<Data>
x	y	z
302659.239000	4123356.160000	28.137000
302661.198000	4123356.174000	28.005000
302663.107000	4123356.174000	27.835000
302665.015000	4123356.174000	27.664000
302667.515000	4123356.161000	27.418000
302670.022000	4123356.176000	27.179000
302673.009000	4123356.195000	26.894000
302675.995000	4123356.214000	26.608000
302678.982000	4123356.232000	26.323000
302681.246000	4123356.240000	26.111000
302684.233000	4123356.249000	25.831000
302687.220000	4123356.259000	25.552000
302690.206000	4123356.269000	25.272000
302693.193000	4123356.279000	24.992000
302696.180000	4123356.289000	24.713000
302699.167000	4123356.298000	24.433000
302702.152000	4123356.319000	24.131000
302702.477000	4123356.321000	24.098000
302705.141000	4123356.318000	23.873000
302708.128000	4123356.328000	23.594000
302708.540000	4123356.334000	23.556000
302711.528000	4123356.377000	23.284000
302714.016000	4123356.332000	23.152000
302717.012000	4123356.277000	22.993000
302719.203000	4123356.296000	22.994000
302722.203000	4123356.328000	22.994000
302725.203000	4123356.360000	22.994000
302726.703000	4123356.376000	22.994000
302728.203000	4123356.391000	22.994000
302731.202000	4123356.423000	22.994000
302734.202000	4123356.455000	22.994000
302737.202000	4123356.487000	22.994000
302740.202000	4123356.519000	22.994000
302743.202000	4123356.550000	22.994000
302744.702000	4123356.566000	22.994000
302746.202000	4123356.582000	22.994000
302749.201000	4123356.614000	22.994000
302752.201000	4123356.646000	22.994000
302754.566000	4123356.671000	23.014000
302757.430000	4123356.675000	23.162000
302759.703000	4123356.674000	23.158000
302762.696000	4123356.711000	23.360000
302762.982000	4123356.714000	23.379000
302765.974000	4123356.693000	23.596000
302766.418000	4123356.689000	23.629000
302768.059000	4123356.696000	23.845000
302770.459000	4123356.723000	24.079000
302773.076000	4123356.722000	24.322000
302776.062000	4123356.748000	24.614000
302776.729000	4123356.754000	24.679000
302778.927000	4123356.741000	24.900000
302781.913000	4123356.769000	25.190000
302782.864000	4123356.778000	25.282000
302785.610000	4123356.797000	25.546000
302788.585000	4123356.758000	25.823000
302791.252000	4123356.782000	26.068000
302794.239000	4123356.795000	26.350000
302794.528000	4123356.796000	26.377000
302797.054000	4123356.719000	26.554000
302800.041000	4123356.720000	26.836000
302800.265000	4123356.720000	26.857000
302802.683000	4123356.824000	27.157000
302805.671000	4123356.829000	27.431000
302805.839000	4123356.829000	27.447000
302808.723000	4123356.844000	27.718000
302811.336000	4123356.866000	27.962000
302812.812000	4123356.878000	28.092000
302813.737000	4123356.886000	28.199000
302814.198000	4123356.869000	28.218000
