<Property>
LANETYPE = 211
LANECODE = 07
BARRIER = 99
CODE = 1
----------
<Data>
x	y	z
302205.040000	4123330.995000	28.909000
302205.066000	4123331.027000	28.909000
302205.685000	4123331.793000	28.933000
302206.713000	4123333.033000	28.923000
302207.972000	4123334.244000	28.945000
302209.375000	4123335.291000	28.947000
302211.582000	4123336.926000	28.953000
302213.364000	4123338.205000	28.951000
302214.838000	4123339.388000	28.928000
302215.986000	4123340.368000	28.914000
302216.937000	4123341.272000	28.924000
302218.213000	4123342.849000	28.929000
302219.238000	4123344.397000	28.929000
302220.894000	4123346.898000	28.929000
302222.174000	4123348.724000	28.898000
302223.399000	4123350.120000	28.852000
302224.675000	4123351.244000	28.828000
