<Property>
LANETYPE = 111
LANECODE = 01
BARRIER = 99
CODE = 1
----------
<Data>
x	y	z
302226.627000	4122430.391000	28.698000
302229.464000	4122429.904000	28.692000
302232.300000	4122429.417000	28.687000
302235.137000	4122428.930000	28.681000
302237.974000	4122428.443000	28.675000
302240.810000	4122427.956000	28.670000
302243.647000	4122427.469000	28.664000
302246.484000	4122426.982000	28.659000
302249.320000	4122426.495000	28.653000
302252.157000	4122426.008000	28.648000
302254.994000	4122425.521000	28.642000
302257.831000	4122425.034000	28.636000
302260.667000	4122424.547000	28.631000
302263.504000	4122424.060000	28.625000
302266.341000	4122423.573000	28.620000
302269.177000	4122423.086000	28.614000
302272.014000	4122422.599000	28.608000
302274.851000	4122422.112000	28.603000
302277.687000	4122421.625000	28.597000
302280.524000	4122421.138000	28.592000
302283.361000	4122420.651000	28.586000
302286.198000	4122420.164000	28.580000
302289.034000	4122419.677000	28.575000
