<Property>
LANETYPE = 212
LANECODE = 03
BARRIER = 99
CODE = 1
----------
<Data>
x	y	z
302579.748000	4123308.897000	28.545000
302577.572000	4123309.633000	28.546000
302575.397000	4123310.369000	28.546000
302573.221000	4123311.104000	28.547000
302571.670000	4123311.578000	28.555000
302570.119000	4123312.051000	28.563000
302567.517000	4123312.760000	28.562000
302564.915000	4123313.469000	28.562000
302562.801000	4123313.956000	28.564000
302560.686000	4123314.442000	28.567000
302558.571000	4123314.928000	28.569000
302556.164000	4123315.323000	28.564000
302553.756000	4123315.717000	28.559000
302551.592000	4123316.023000	28.556000
302549.427000	4123316.328000	28.553000
302546.913000	4123316.600000	28.560000
302544.399000	4123316.871000	28.568000
302541.497000	4123317.119000	28.566000
302538.595000	4123317.367000	28.565000
302535.692000	4123317.614000	28.563000
302533.203000	4123317.671000	28.561000
302530.714000	4123317.728000	28.559000
302528.225000	4123317.785000	28.557000
302525.735000	4123317.841000	28.555000
302523.246000	4123317.898000	28.553000
302520.422000	4123317.886000	28.550000
302517.597000	4123317.873000	28.547000
302514.772000	4123317.861000	28.545000
302511.948000	4123317.849000	28.542000
302509.123000	4123317.836000	28.539000
302506.299000	4123317.824000	28.536000
302503.474000	4123317.811000	28.533000
302500.649000	4123317.799000	28.531000
302497.825000	4123317.787000	28.528000
302495.000000	4123317.774000	28.525000
302492.176000	4123317.762000	28.522000
302489.527000	4123317.737000	28.520000
302486.878000	4123317.713000	28.518000
302484.228000	4123317.688000	28.516000
302481.579000	4123317.664000	28.514000
302478.930000	4123317.639000	28.511000
302476.281000	4123317.615000	28.509000
302473.632000	4123317.590000	28.507000
302472.081000	4123317.584000	28.508000
302470.530000	4123317.578000	28.510000
302468.896000	4123317.572000	28.510000
302467.262000	4123317.565000	28.510000
302464.852000	4123317.551000	28.501000
302462.442000	4123317.538000	28.491000
302460.031000	4123317.524000	28.482000
302457.031000	4123317.505000	28.478000
302454.031000	4123317.486000	28.474000
302451.031000	4123317.467000	28.470000
302450.790000	4123317.465000	28.470000
302447.790000	4123317.457000	28.470000
302446.290000	4123317.453000	28.470000
302444.790000	4123317.448000	28.470000
302443.290000	4123317.444000	28.470000
302441.790000	4123317.440000	28.469000
302440.290000	4123317.436000	28.469000
302438.790000	4123317.432000	28.469000
302437.290000	4123317.427000	28.469000
302435.790000	4123317.423000	28.469000
302432.790000	4123317.415000	28.469000
302432.092000	4123317.413000	28.469000
302429.092000	4123317.383000	28.470000
302427.592000	4123317.369000	28.470000
302426.092000	4123317.354000	28.470000
302423.092000	4123317.325000	28.471000
302421.592000	4123317.310000	28.472000
302420.092000	4123317.296000	28.472000
302417.936000	4123317.301000	28.491000
302415.619000	4123317.273000	28.470000
302412.619000	4123317.265000	28.468000
302411.620000	4123317.263000	28.467000
302408.621000	4123317.241000	28.464000
302407.121000	4123317.230000	28.463000
302405.621000	4123317.220000	28.461000
302402.621000	4123317.198000	28.459000
302399.621000	4123317.176000	28.456000
302398.121000	4123317.165000	28.455000
302396.621000	4123317.155000	28.453000
302395.121000	4123317.144000	28.452000
302393.621000	4123317.133000	28.451000
302391.173000	4123317.115000	28.448000
302388.173000	4123317.101000	28.452000
302386.673000	4123317.094000	28.453000
302385.173000	4123317.086000	28.455000
302382.173000	4123317.072000	28.458000
302379.173000	4123317.058000	28.462000
302376.173000	4123317.043000	28.465000
302374.673000	4123317.036000	28.467000
302373.173000	4123317.029000	28.469000
302372.570000	4123317.026000	28.469000
302369.570000	4123317.009000	28.460000
302366.570000	4123316.991000	28.452000
302363.570000	4123316.974000	28.443000
302361.221000	4123316.960000	28.436000
302360.570000	4123316.956000	28.434000
302359.249000	4123316.949000	28.430000
302356.249000	4123316.933000	28.440000
302354.039000	4123316.922000	28.447000
