<Property>
LANETYPE = 211
LANECODE = 07
BARRIER = 99
CODE = 1
----------
<Data>
x	y	z
302553.238000	4124129.645000	28.423000
302551.630000	4124129.714000	28.426000
302550.769000	4124129.836000	28.427000
302549.708000	4124130.063000	28.426000
302548.643000	4124130.362000	28.429000
302547.720000	4124130.634000	28.483000
302546.258000	4124131.155000	28.490000
302545.173000	4124131.648000	28.496000
302544.550000	4124132.020000	28.493000
302543.941000	4124132.351000	28.489000
302543.249000	4124132.828000	28.499000
302542.833000	4124133.162000	28.487000
