<Property>
ROADTYPE = 1
CODE = 5


----------
<Data>
x	y	z
301997.873000	4124642.032000	28.609000
301997.757000	4124641.714000	28.606000
301997.524000	4124641.079000	28.602000
301997.262000	4124640.364000	28.599000
301997.119000	4124639.971000	28.596000
301996.976000	4124639.583000	28.592000
301996.970000	4124639.566000	28.592000
301996.706000	4124638.859000	28.581000
301996.499000	4124638.307000	28.578000
301996.264000	4124637.679000	28.583000
301996.161000	4124637.402000	28.582000
301996.077000	4124637.180000	28.580000
301995.980000	4124636.921000	28.579000
301995.979000	4124636.917000	28.579000
301995.742000	4124636.301000	28.584000
301995.714000	4124636.228000	28.584000
301995.639000	4124636.034000	28.582000
301995.563000	4124635.836000	28.581000
301995.515000	4124635.711000	28.580000
301995.509000	4124635.694000	28.580000
301995.234000	4124635.019000	28.579000
301995.125000	4124634.751000	28.578000
301995.048000	4124634.561000	28.578000
301995.005000	4124634.456000	28.577000
301994.943000	4124634.304000	28.577000
301994.919000	4124634.247000	28.576000
301994.633000	4124633.559000	28.575000
301994.536000	4124633.324000	28.574000
301994.412000	4124633.027000	28.573000
301994.405000	4124633.010000	28.573000
301994.131000	4124632.336000	28.572000
301994.013000	4124632.047000	28.573000
301993.925000	4124631.832000	28.573000
301993.839000	4124631.621000	28.574000
301993.788000	4124631.498000	28.574000
301993.501000	4124630.811000	28.573000
301993.416000	4124630.608000	28.573000
301993.408000	4124630.589000	28.573000
301993.301000	4124630.326000	28.576000
301993.216000	4124630.116000	28.578000
301992.934000	4124629.426000	28.577000
301992.909000	4124629.363000	28.577000
301992.842000	4124629.199000	28.579000
301992.756000	4124628.989000	28.581000
301992.601000	4124628.609000	28.584000
301992.319000	4124627.918000	28.583000
301992.166000	4124627.544000	28.586000
301992.147000	4124627.497000	28.586000
301991.864000	4124626.806000	28.590000
301991.666000	4124626.320000	28.594000
301991.647000	4124626.273000	28.595000
301991.621000	4124626.210000	28.595000
301991.496000	4124625.904000	28.598000
301991.215000	4124625.213000	28.602000
301991.111000	4124624.959000	28.604000
301991.081000	4124624.884000	28.605000
301990.946000	4124624.553000	28.608000
301990.664000	4124623.862000	28.612000
301990.515000	4124623.495000	28.615000
301990.506000	4124623.473000	28.615000
301990.363000	4124623.124000	28.618000
301990.081000	4124622.434000	28.622000
301989.947000	4124622.107000	28.625000
301989.745000	4124621.610000	28.630000
301989.462000	4124620.920000	28.633000
301989.354000	4124620.654000	28.636000
301989.338000	4124620.616000	28.636000
301989.284000	4124620.482000	28.637000
301989.161000	4124620.180000	28.640000
301988.879000	4124619.489000	28.644000
301988.779000	4124619.245000	28.646000
301988.772000	4124619.227000	28.646000
301988.690000	4124619.024000	28.648000
301988.408000	4124618.334000	28.652000
301988.322000	4124618.122000	28.654000
301988.239000	4124617.919000	28.656000
301988.206000	4124617.837000	28.656000
301988.151000	4124617.703000	28.658000
301988.059000	4124617.478000	28.660000
301987.777000	4124616.787000	28.663000
301987.683000	4124616.558000	28.665000
301987.589000	4124616.326000	28.668000
301987.495000	4124616.098000	28.670000
301987.267000	4124615.540000	28.673000
301987.176000	4124615.316000	28.675000
301987.080000	4124615.082000	28.677000
301987.029000	4124614.958000	28.677000
301986.852000	4124614.524000	28.680000
301986.756000	4124614.287000	28.682000
301986.587000	4124613.873000	28.686000
301986.573000	4124613.837000	28.686000
301986.306000	4124613.182000	28.697000
301986.191000	4124612.899000	28.700000
301986.106000	4124612.689000	28.702000
301986.007000	4124612.447000	28.704000
301985.967000	4124612.349000	28.705000
301985.685000	4124611.659000	28.716000
301985.583000	4124611.408000	28.718000
301985.566000	4124611.367000	28.719000
301985.486000	4124611.171000	28.721000
301985.203000	4124610.480000	28.732000
301985.116000	4124610.267000	28.734000
301984.941000	4124609.839000	28.738000
301984.831000	4124609.568000	28.742000
301984.660000	4124609.147000	28.749000
301984.569000	4124608.925000	28.751000
301984.488000	4124608.726000	28.753000
301984.408000	4124608.529000	28.755000
301984.329000	4124608.335000	28.757000
301984.265000	4124608.179000	28.759000
301984.048000	4124607.644000	28.768000
301983.965000	4124607.440000	28.770000
301983.874000	4124607.217000	28.772000
301983.778000	4124606.981000	28.774000
301983.700000	4124606.790000	28.777000
301983.496000	4124606.290000	28.785000
301983.355000	4124605.945000	28.789000
301983.202000	4124605.570000	28.792000
301982.919000	4124604.879000	28.803000
301982.767000	4124604.506000	28.807000
301982.617000	4124604.138000	28.810000
301982.541000	4124603.952000	28.813000
301982.335000	4124603.447000	28.822000
301982.112000	4124602.897000	28.827000
301981.975000	4124602.563000	28.832000
301981.848000	4124602.250000	28.837000
301981.678000	4124601.831000	28.841000
301981.649000	4124601.761000	28.842000
301981.544000	4124601.502000	28.844000
301981.446000	4124601.261000	28.848000
301981.275000	4124600.856000	28.855000
301981.204000	4124600.688000	28.856000
301981.173000	4124600.611000	28.857000
301981.094000	4124600.419000	28.859000
301980.974000	4124600.124000	28.861000
301980.739000	4124599.549000	28.869000
301980.687000	4124599.422000	28.870000
301980.608000	4124599.227000	28.872000
301980.528000	4124599.032000	28.874000
301980.246000	4124598.342000	28.878000
301980.160000	4124598.132000	28.880000
301980.080000	4124597.936000	28.881000
301980.045000	4124597.850000	28.882000
301980.001000	4124597.742000	28.883000
301979.719000	4124597.051000	28.887000
301979.628000	4124596.829000	28.889000
301979.505000	4124596.526000	28.892000
301979.478000	4124596.461000	28.892000
301979.352000	4124596.153000	28.895000
301979.071000	4124595.462000	28.899000
301978.912000	4124595.072000	28.903000
301978.906000	4124595.058000	28.903000
301978.624000	4124594.368000	28.907000
301978.459000	4124593.963000	28.910000
301978.353000	4124593.705000	28.913000
301978.286000	4124593.541000	28.914000
301978.004000	4124592.850000	28.918000
301977.871000	4124592.525000	28.921000
301977.757000	4124592.245000	28.924000
301977.718000	4124592.151000	28.925000
301977.649000	4124591.981000	28.926000
301977.367000	4124591.290000	28.930000
301977.271000	4124591.055000	28.932000
301977.189000	4124590.855000	28.934000
301977.152000	4124590.762000	28.935000
301977.107000	4124590.653000	28.936000
301976.825000	4124589.962000	28.940000
301976.745000	4124589.766000	28.941000
301976.666000	4124589.573000	28.943000
301976.585000	4124589.374000	28.945000
301976.577000	4124589.354000	28.945000
301976.295000	4124588.663000	28.949000
301976.210000	4124588.454000	28.951000
301976.127000	4124588.252000	28.953000
301976.048000	4124588.059000	28.955000
301975.766000	4124587.368000	28.959000
301975.641000	4124587.064000	28.961000
301975.531000	4124586.793000	28.964000
301975.432000	4124586.551000	28.966000
301975.392000	4124586.452000	28.967000
301975.150000	4124585.860000	28.970000
301974.997000	4124585.486000	28.973000
301974.832000	4124585.080000	28.977000
301974.825000	4124585.064000	28.977000
301974.408000	4124584.041000	28.983000
301974.399000	4124584.019000	28.983000
301974.187000	4124583.487000	28.984000
301974.077000	4124583.212000	28.985000
301973.996000	4124583.008000	28.985000
301973.832000	4124582.597000	28.987000
301973.488000	4124581.733000	28.991000
301973.276000	4124581.216000	28.993000
301973.256000	4124581.165000	28.993000
301973.121000	4124580.834000	28.994000
301972.985000	4124580.501000	28.995000
301972.921000	4124580.344000	28.995000
301972.882000	4124580.250000	28.996000
301972.802000	4124580.053000	28.996000
301972.726000	4124579.867000	28.996000
301972.354000	4124578.956000	29.001000
301972.164000	4124578.481000	29.003000
301972.088000	4124578.288000	29.003000
301972.005000	4124578.082000	29.004000
301971.925000	4124577.881000	29.005000
301971.915000	4124577.856000	29.005000
301971.830000	4124577.642000	29.005000
301971.815000	4124577.604000	29.005000
301971.539000	4124576.913000	29.009000
301971.448000	4124576.684000	29.009000
301971.443000	4124576.670000	29.009000
301971.310000	4124576.346000	29.010000
301971.166000	4124575.991000	29.011000
301970.883000	4124575.301000	29.014000
301970.875000	4124575.281000	29.014000
301970.736000	4124574.898000	29.016000
301970.696000	4124574.789000	29.017000
301970.450000	4124574.115000	29.020000
301970.430000	4124574.061000	29.021000
301970.373000	4124573.921000	29.021000
301970.294000	4124573.727000	29.023000
301970.195000	4124573.485000	29.024000
301970.162000	4124573.405000	29.024000
301969.889000	4124572.735000	29.028000
301969.880000	4124572.714000	29.028000
301969.863000	4124572.673000	29.028000
301969.760000	4124572.421000	29.027000
301969.743000	4124572.379000	29.027000
301969.733000	4124572.354000	29.027000
301969.668000	4124572.175000	29.027000
301969.551000	4124571.852000	29.028000
301969.463000	4124571.608000	29.028000
301969.379000	4124571.377000	29.027000
301969.339000	4124571.265000	29.027000
301969.333000	4124571.248000	29.027000
301969.209000	4124570.945000	29.027000
301968.763000	4124569.860000	29.027000
301968.659000	4124569.545000	29.027000
301968.584000	4124569.316000	29.027000
301968.511000	4124569.093000	29.027000
301968.495000	4124569.044000	29.027000
301968.424000	4124568.827000	29.027000
301968.386000	4124568.712000	29.027000
301968.380000	4124568.694000	29.027000
301968.289000	4124568.471000	29.028000
301968.222000	4124568.308000	29.028000
301968.188000	4124568.227000	29.029000
301967.810000	4124567.306000	29.029000
301967.661000	4124566.808000	29.029000
301967.599000	4124566.605000	29.030000
301967.537000	4124566.398000	29.030000
301967.460000	4124566.143000	29.031000
301967.455000	4124566.123000	29.031000
301967.365000	4124565.879000	29.031000
301967.296000	4124565.693000	29.032000
301967.190000	4124565.405000	29.032000
301966.671000	4124563.992000	29.032000
301966.649000	4124563.935000	29.032000
301966.605000	4124563.814000	29.032000
301966.597000	4124563.793000	29.032000
301966.528000	4124563.464000	29.030000
301966.492000	4124563.291000	29.031000
301966.460000	4124563.137000	29.031000
301966.402000	4124562.862000	29.030000
