<Property>
ROADTYPE = 1
CODE = 5


----------
<Data>
x	y	z
302320.163000	4123413.478000	27.769000
302320.162000	4123414.198000	27.758000
302320.162000	4123414.774000	27.757000
302320.151000	4123415.499000	27.755000
302320.140000	4123416.224000	27.744000
302320.140000	4123416.224000	27.744000
302320.140000	4123416.708000	27.742000
302320.140000	4123416.708000	27.742000
302320.138000	4123417.458000	27.742000
302320.136000	4123418.208000	27.740000
302320.136000	4123418.957000	27.737000
302320.136000	4123419.708000	27.737000
302320.136000	4123419.708000	27.737000
302320.134000	4123420.458000	27.737000
302320.132000	4123421.208000	27.735000
302320.131000	4123421.957000	27.733000
302320.131000	4123422.708000	27.732000
302320.131000	4123422.708000	27.732000
302320.129000	4123423.458000	27.732000
302320.127000	4123424.208000	27.730000
302320.127000	4123424.957000	27.728000
302320.126000	4123425.708000	27.728000
302320.126000	4123425.708000	27.728000
302320.124000	4123426.458000	27.727000
302320.122000	4123427.208000	27.725000
302320.122000	4123427.957000	27.723000
302320.122000	4123428.708000	27.723000
302320.122000	4123428.708000	27.723000
302320.120000	4123429.458000	27.723000
302320.118000	4123430.208000	27.720000
302320.117000	4123430.957000	27.718000
302320.117000	4123431.708000	27.718000
302320.117000	4123431.708000	27.718000
302320.116000	4123432.286000	27.718000
302320.116000	4123432.457000	27.718000
302320.114000	4123433.036000	27.717000
302320.112000	4123433.786000	27.716000
302320.112000	4123433.786000	27.716000
302320.111000	4123435.286000	27.713000
302320.111000	4123435.286000	27.713000
302320.109000	4123436.036000	27.713000
302320.107000	4123436.786000	27.713000
302320.107000	4123436.786000	27.713000
302320.105000	4123438.286000	27.710000
302320.105000	4123438.286000	27.710000
302320.106000	4123439.094000	27.705000
302320.106000	4123439.094000	27.705000
302320.109000	4123440.594000	27.696000
302320.109000	4123440.594000	27.696000
302320.107000	4123442.094000	27.693000
302320.107000	4123442.094000	27.693000
302320.109000	4123443.594000	27.683000
302320.109000	4123443.594000	27.683000
302320.107000	4123445.094000	27.680000
302320.107000	4123445.094000	27.680000
302320.106000	4123445.379000	27.678000
302320.106000	4123445.379000	27.678000
302320.108000	4123446.879000	27.668000
302320.108000	4123446.879000	27.668000
302320.102000	4123448.379000	27.654000
302320.102000	4123448.379000	27.654000
302320.104000	4123449.879000	27.644000
302320.104000	4123449.879000	27.644000
302320.098000	4123451.379000	27.630000
302320.098000	4123451.379000	27.630000
302320.097000	4123452.555000	27.613000
302320.097000	4123452.555000	27.613000
302320.091000	4123454.055000	27.598000
302320.091000	4123454.055000	27.598000
302320.085000	4123454.974000	27.589000
302320.085000	4123454.974000	27.589000
302320.079000	4123456.474000	27.575000
302320.079000	4123456.474000	27.575000
302320.075000	4123457.866000	27.558000
302320.075000	4123457.866000	27.558000
302320.074000	4123458.027000	27.556000
302320.074000	4123458.027000	27.556000
302320.070000	4123458.776000	27.549000
302320.067000	4123459.527000	27.541000
302320.063000	4123460.277000	27.534000
302320.058000	4123461.027000	27.526000
302320.058000	4123461.027000	27.526000
302320.057000	4123461.166000	27.525000
302320.057000	4123461.166000	27.525000
302320.051000	4123462.666000	27.510000
302320.051000	4123462.666000	27.510000
302320.046000	4123464.166000	27.491000
302320.046000	4123464.166000	27.491000
302320.042000	4123464.419000	27.489000
302320.042000	4123464.419000	27.489000
302320.027000	4123465.567000	27.479000
302320.027000	4123465.567000	27.479000
302320.005000	4123467.066000	27.466000
302320.005000	4123467.066000	27.466000
302319.980000	4123468.376000	27.453000
302319.980000	4123468.376000	27.453000
302319.958000	4123469.876000	27.441000
302319.958000	4123469.876000	27.441000
302319.949000	4123470.245000	27.437000
302319.949000	4123470.245000	27.437000
302319.926000	4123471.744000	27.425000
302319.926000	4123471.744000	27.425000
302319.890000	4123473.244000	27.412000
302319.890000	4123473.244000	27.412000
302319.889000	4123473.267000	27.411000
302319.889000	4123473.267000	27.411000
302319.850000	4123474.673000	27.401000
302319.850000	4123474.673000	27.401000
302319.802000	4123476.172000	27.382000
302319.802000	4123476.172000	27.382000
302319.794000	4123476.364000	27.382000
302319.794000	4123476.364000	27.382000
302319.772000	4123476.911000	27.380000
302319.772000	4123476.911000	27.380000
302319.761000	4123477.104000	27.380000
302319.761000	4123477.104000	27.380000
302319.698000	4123478.602000	27.376000
302319.698000	4123478.602000	27.376000
302319.627000	4123479.892000	27.365000
302319.626000	4123479.898000	27.365000
302319.623000	4123479.939000	27.365000
302319.622000	4123479.944000	27.365000
302319.560000	4123480.686000	27.366000
302319.498000	4123481.439000	27.369000
302319.486000	4123481.602000	27.369000
302319.431000	4123482.352000	27.370000
302319.430000	4123482.357000	27.370000
302319.295000	4123483.716000	27.376000
302319.295000	4123483.721000	27.376000
302319.179000	4123484.745000	27.384000
302319.179000	4123484.750000	27.384000
302319.019000	4123485.843000	27.369000
302319.019000	4123485.848000	27.368000
302318.815000	4123487.302000	27.344000
302318.814000	4123487.308000	27.344000
302318.592000	4123488.616000	27.329000
302318.591000	4123488.621000	27.329000
302318.307000	4123489.976000	27.319000
302318.306000	4123489.981000	27.319000
302318.048000	4123491.032000	27.310000
302318.047000	4123491.036000	27.310000
302317.912000	4123491.653000	27.314000
302317.910000	4123491.658000	27.314000
302317.709000	4123492.445000	27.319000
302317.708000	4123492.450000	27.319000
302317.478000	4123493.193000	27.313000
302317.265000	4123493.882000	27.296000
302317.245000	4123493.947000	27.296000
302317.027000	4123494.626000	27.290000
302317.025000	4123494.631000	27.290000
302316.997000	4123494.715000	27.290000
302316.995000	4123494.720000	27.290000
302316.815000	4123495.258000	27.282000
302316.813000	4123495.263000	27.282000
302316.610000	4123495.835000	27.275000
302316.562000	4123495.969000	27.273000
302316.359000	4123496.541000	27.268000
302316.274000	4123496.778000	27.267000
302316.104000	4123497.257000	27.261000
302316.016000	4123497.485000	27.258000
302316.014000	4123497.490000	27.258000
302315.528000	4123498.763000	27.254000
302315.526000	4123498.767000	27.254000
302315.036000	4123499.914000	27.242000
302314.608000	4123500.913000	27.236000
302314.541000	4123501.071000	27.234000
302314.134000	4123502.081000	27.224000
302314.132000	4123502.086000	27.224000
302313.864000	4123502.681000	27.228000
302313.862000	4123502.685000	27.228000
302313.356000	4123503.768000	27.222000
302313.326000	4123503.834000	27.222000
302312.833000	4123504.915000	27.211000
302312.571000	4123505.491000	27.207000
302312.307000	4123506.072000	27.209000
302312.267000	4123506.155000	27.209000
302311.993000	4123506.724000	27.206000
302311.990000	4123506.729000	27.206000
302311.342000	4123508.077000	27.210000
302311.340000	4123508.081000	27.210000
302310.956000	4123508.991000	27.207000
302310.570000	4123509.905000	27.204000
302310.567000	4123509.911000	27.204000
302310.083000	4123510.970000	27.200000
302310.081000	4123510.975000	27.200000
302309.889000	4123511.439000	27.199000
302309.821000	4123511.603000	27.199000
302309.628000	4123512.067000	27.194000
302309.364000	4123512.699000	27.192000
302309.362000	4123512.704000	27.192000
302309.056000	4123513.437000	27.175000
302309.054000	4123513.441000	27.175000
302308.652000	4123514.472000	27.174000
302308.650000	4123514.478000	27.174000
302308.393000	4123515.210000	27.158000
302308.391000	4123515.215000	27.158000
302308.044000	4123516.281000	27.158000
302308.043000	4123516.285000	27.158000
302307.719000	4123517.254000	27.154000
302307.718000	4123517.259000	27.154000
302307.509000	4123518.017000	27.152000
302307.482000	4123518.115000	27.152000
302307.278000	4123518.873000	27.154000
302307.073000	4123519.635000	27.152000
302307.072000	4123519.641000	27.152000
302306.931000	4123520.285000	27.134000
302306.930000	4123520.290000	27.134000
302306.755000	4123521.081000	27.134000
302306.754000	4123521.087000	27.135000
302306.571000	4123522.078000	27.141000
302306.570000	4123522.083000	27.141000
302306.385000	4123522.965000	27.141000
302306.384000	4123522.970000	27.141000
302306.236000	4123523.943000	27.144000
302306.235000	4123523.948000	27.145000
302306.025000	4123525.050000	27.158000
302306.024000	4123525.055000	27.158000
302305.909000	4123526.059000	27.157000
302305.908000	4123526.064000	27.157000
302305.817000	4123526.804000	27.156000
302305.816000	4123526.809000	27.156000
302305.707000	4123527.756000	27.156000
302305.707000	4123527.761000	27.156000
302305.635000	4123528.594000	27.148000
302305.634000	4123528.600000	27.148000
302305.577000	4123529.470000	27.146000
302305.577000	4123529.475000	27.146000
302305.509000	4123530.626000	27.160000
302305.509000	4123530.632000	27.160000
302305.472000	4123531.462000	27.156000
302305.472000	4123531.468000	27.156000
302305.462000	4123531.777000	27.155000
302305.462000	4123531.782000	27.155000
302305.426000	4123532.820000	27.149000
302305.426000	4123532.825000	27.149000
302305.376000	4123534.319000	27.144000
302305.376000	4123534.324000	27.144000
302305.374000	4123534.423000	27.144000
302305.373000	4123534.428000	27.144000
302305.350000	4123535.656000	27.136000
302305.350000	4123535.661000	27.136000
302305.309000	4123537.156000	27.133000
302305.309000	4123537.161000	27.133000
302305.304000	4123537.461000	27.132000
302305.304000	4123537.467000	27.132000
302305.276000	4123538.961000	27.127000
302305.276000	4123538.967000	27.127000
302305.235000	4123540.461000	27.123000
302305.235000	4123540.466000	27.123000
302305.213000	4123541.860000	27.118000
302305.213000	4123541.866000	27.118000
302305.172000	4123543.360000	27.115000
302305.172000	4123543.365000	27.115000
302305.167000	4123543.721000	27.113000
302305.167000	4123543.726000	27.113000
302305.144000	4123545.221000	27.108000
302305.143000	4123545.226000	27.108000
302305.124000	4123546.721000	27.102000
302305.124000	4123546.726000	27.102000
302305.114000	4123547.678000	27.100000
302305.114000	4123547.683000	27.100000
302305.104000	4123548.429000	27.098000
302305.094000	4123549.183000	27.095000
302305.086000	4123549.928000	27.092000
302305.079000	4123550.678000	27.091000
302305.079000	4123550.683000	27.091000
302305.068000	4123551.431000	27.088000
302305.068000	4123551.437000	27.087000
302305.048000	4123552.931000	27.082000
302305.048000	4123552.937000	27.082000
302305.027000	4123554.431000	27.076000
302305.027000	4123554.436000	27.076000
302305.007000	4123555.931000	27.070000
302305.007000	4123555.936000	27.070000
302304.986000	4123557.431000	27.064000
302304.986000	4123557.436000	27.064000
302304.975000	4123558.308000	27.060000
302304.975000	4123558.314000	27.060000
302304.960000	4123559.713000	27.056000
302304.960000	4123559.718000	27.056000
302304.943000	4123561.213000	27.049000
302304.942000	4123561.218000	27.049000
