<Property>
LANETYPE = 211
LANECODE = 07
BARRIER = 99
CODE = 1
----------
<Data>
x	y	z
302749.074000	4123335.101000	29.063000
302749.080000	4123333.967000	29.066000
302749.094000	4123330.967000	29.075000
302749.100000	4123329.641000	29.076000
302749.115000	4123326.641000	29.078000
302749.129000	4123323.641000	29.080000
302749.143000	4123320.642000	29.082000
302749.158000	4123317.642000	29.084000
302749.172000	4123314.806000	29.083000
302749.188000	4123311.806000	29.074000
302749.203000	4123308.806000	29.065000
302749.219000	4123305.818000	29.056000
302749.223000	4123304.347000	29.063000
