<Property>
ROADTYPE = 1
CODE = 5


----------
<Data>
x	y	z
302444.664000	4122557.644000	28.962000
302444.371000	4122557.697000	28.962000
302443.460000	4122557.861000	28.958000
302442.395000	4122558.052000	28.956000
302440.866000	4122558.327000	28.955000
302439.330000	4122558.603000	28.955000
302437.891000	4122558.861000	28.953000
302436.872000	4122559.044000	28.951000
302436.222000	4122559.158000	28.950000
302435.134000	4122559.347000	28.949000
302434.873000	4122559.393000	28.949000
302433.658000	4122559.608000	28.947000
302433.049000	4122559.712000	28.946000
302430.870000	4122560.087000	28.941000
302430.362000	4122560.177000	28.940000
302429.394000	4122560.348000	28.937000
302428.921000	4122560.431000	28.936000
302427.918000	4122560.608000	28.936000
302427.197000	4122560.731000	28.937000
302424.879000	4122561.128000	28.934000
302424.233000	4122561.242000	28.933000
302423.403000	4122561.388000	28.932000
302422.831000	4122561.489000	28.932000
302421.927000	4122561.649000	28.932000
302421.312000	4122561.755000	28.932000
302419.477000	4122562.072000	28.929000
302418.901000	4122562.173000	28.928000
302418.000000	4122562.332000	28.930000
302417.324000	4122562.444000	28.931000
302416.920000	4122562.512000	28.932000
302416.263000	4122562.625000	28.933000
302416.198000	4122562.637000	28.933000
302414.764000	4122562.885000	28.931000
302414.721000	4122562.892000	28.931000
302412.122000	4122563.343000	28.933000
302412.056000	4122563.355000	28.933000
302410.650000	4122563.598000	28.934000
302410.578000	4122563.610000	28.933000
302409.100000	4122563.866000	28.931000
302409.069000	4122563.872000	28.931000
302406.229000	4122564.359000	28.921000
302406.220000	4122564.361000	28.921000
302404.751000	4122564.615000	28.918000
302404.725000	4122564.620000	28.918000
302402.707000	4122564.966000	28.921000
302402.690000	4122564.969000	28.921000
302401.230000	4122565.222000	28.917000
302401.221000	4122565.223000	28.917000
302399.752000	4122565.478000	28.918000
302399.697000	4122565.487000	28.918000
302398.274000	4122565.734000	28.918000
302398.205000	4122565.746000	28.918000
302395.524000	4122566.213000	28.913000
302392.843000	4122566.679000	28.908000
302392.790000	4122566.688000	28.908000
302391.403000	4122566.929000	28.905000
302391.365000	4122566.935000	28.905000
302389.938000	4122567.182000	28.905000
302389.887000	4122567.191000	28.905000
302388.457000	4122567.439000	28.903000
302388.410000	4122567.447000	28.903000
302385.639000	4122567.916000	28.901000
302385.595000	4122567.924000	28.901000
302384.191000	4122568.180000	28.901000
302384.119000	4122568.193000	28.901000
302382.405000	4122568.488000	28.920000
302382.353000	4122568.496000	28.920000
302380.877000	4122568.765000	28.928000
302380.539000	4122568.827000	28.930000
302379.404000	4122569.033000	29.039000
302379.401000	4122569.034000	29.039000
302377.929000	4122569.302000	29.048000
302377.926000	4122569.302000	29.048000
302375.652000	4122569.689000	29.100000
302373.378000	4122570.076000	29.152000
302371.104000	4122570.463000	29.205000
302371.103000	4122570.463000	29.205000
302369.628000	4122570.732000	29.214000
302369.628000	4122570.732000	29.214000
302368.152000	4122571.000000	29.242000
302367.380000	4122571.126000	29.257000
302367.376000	4122571.127000	29.257000
302365.949000	4122571.360000	29.258000
302365.900000	4122571.368000	29.259000
302363.347000	4122571.811000	29.263000
302363.256000	4122571.825000	29.263000
302361.866000	4122572.052000	29.265000
302361.844000	4122572.056000	29.265000
302359.876000	4122572.394000	29.268000
302359.762000	4122572.412000	29.269000
302358.395000	4122572.635000	29.269000
302358.359000	4122572.641000	29.269000
302356.955000	4122572.870000	29.274000
302356.915000	4122572.877000	29.274000
302354.851000	4122573.233000	29.275000
302354.829000	4122573.236000	29.275000
302353.784000	4122573.407000	29.273000
302353.371000	4122573.474000	29.273000
302351.552000	4122573.790000	29.273000
302351.097000	4122573.869000	29.272000
302349.748000	4122574.086000	29.271000
