<Property>
LANETYPE = 211
LANECODE = 07
BARRIER = 99
CODE = 1
----------
<Data>
x	y	z
302289.402000	4123959.146000	28.483000
302289.418000	4123956.406000	28.481000
302289.434000	4123953.667000	28.479000
302289.450000	4123950.927000	28.476000
302289.466000	4123948.187000	28.474000
302289.482000	4123945.448000	28.472000
302289.499000	4123942.448000	28.467000
302289.516000	4123939.448000	28.462000
302289.533000	4123936.448000	28.457000
302289.549000	4123933.448000	28.451000
302289.558000	4123931.862000	28.449000
302289.566000	4123930.362000	28.449000
302289.573000	4123928.862000	28.449000
302289.580000	4123927.362000	28.449000
302289.588000	4123925.862000	28.449000
302289.602000	4123922.862000	28.449000
302289.617000	4123919.862000	28.449000
302289.632000	4123916.862000	28.449000
302289.639000	4123915.362000	28.449000
302289.647000	4123913.862000	28.449000
302289.661000	4123911.000000	28.449000
302289.216000	4123910.596000	28.408000
302288.667000	4123910.274000	28.311000
302287.997000	4123910.113000	28.288000
302286.454000	4123909.777000	28.271000
302285.172000	4123909.754000	28.261000
302284.039000	4123909.837000	28.239000
302283.178000	4123909.995000	28.227000
302282.273000	4123910.295000	28.209000
302281.736000	4123910.512000	28.204000
302281.112000	4123911.115000	28.243000
