<Property>
ROADTYPE = 1
CODE = 5


----------
<Data>
x	y	z
302090.959000	4123071.060000	29.088000
302090.950000	4123073.708000	29.088000
302090.945000	4123075.223000	29.087000
302090.939000	4123076.737000	29.085000
302090.930000	4123079.405000	29.085000
302090.925000	4123080.909000	29.084000
302090.920000	4123082.412000	29.083000
302090.918000	4123083.053000	29.083000
302090.901000	4123085.687000	29.083000
302090.891000	4123087.252000	29.081000
302090.881000	4123088.816000	29.080000
302090.871000	4123090.450000	29.080000
302090.861000	4123092.083000	29.080000
302090.851000	4123093.652000	29.079000
302090.841000	4123095.222000	29.077000
302090.834000	4123096.380000	29.077000
302090.826000	4123097.394000	29.077000
302090.813000	4123099.162000	29.076000
302090.793000	4123101.920000	29.076000
302090.771000	4123104.918000	29.073000
302090.750000	4123107.662000	29.074000
302090.750000	4123107.773000	29.074000
302090.726000	4123110.678000	29.071000
302090.714000	4123112.167000	29.071000
302090.697000	4123114.377000	29.069000
302090.676000	4123116.891000	29.070000
302090.674000	4123117.279000	29.070000
302090.661000	4123119.496000	29.068000
302090.654000	4123120.697000	29.068000
302090.645000	4123122.391000	29.069000
302090.632000	4123124.609000	29.067000
302090.627000	4123125.549000	29.067000
302090.612000	4123128.028000	29.067000
302090.610000	4123128.415000	29.067000
302090.599000	4123130.246000	29.065000
302090.593000	4123131.413000	29.064000
302090.588000	4123132.223000	29.064000
302090.578000	4123134.041000	29.064000
302090.576000	4123134.279000	29.064000
302090.571000	4123135.173000	29.064000
302090.559000	4123137.277000	29.062000
302090.554000	4123138.163000	29.062000
302090.537000	4123141.113000	29.062000
302090.528000	4123142.618000	29.061000
302090.520000	4123144.103000	29.059000
302090.510000	4123145.728000	29.060000
302090.501000	4123147.354000	29.060000
302090.494000	4123148.614000	29.061000
302090.489000	4123149.562000	29.061000
302090.481000	4123151.188000	29.061000
302090.472000	4123152.814000	29.062000
302090.469000	4123153.582000	29.062000
302090.460000	4123155.020000	29.062000
302090.448000	4123157.229000	29.063000
302090.446000	4123157.520000	29.063000
302090.438000	4123159.074000	29.064000
302090.432000	4123160.199000	29.064000
302090.427000	4123161.282000	29.064000
302090.421000	4123162.488000	29.065000
302090.411000	4123164.120000	29.065000
302090.398000	4123166.426000	29.066000
302090.392000	4123167.664000	29.066000
302090.379000	4123170.262000	29.067000
302090.371000	4123171.784000	29.067000
302090.365000	4123172.864000	29.067000
302090.355000	4123174.635000	29.068000
302090.345000	4123176.406000	29.069000
302090.330000	4123178.882000	29.069000
302090.327000	4123179.509000	29.069000
302090.317000	4123181.516000	29.070000
302090.309000	4123183.064000	29.071000
302090.307000	4123183.523000	29.071000
302090.299000	4123185.027000	29.071000
302090.291000	4123186.531000	29.071000
302090.290000	4123186.761000	29.071000
302090.280000	4123188.538000	29.072000
302090.274000	4123189.830000	29.072000
302090.265000	4123191.546000	29.072000
302090.254000	4123193.553000	29.073000
302090.247000	4123194.785000	29.073000
302090.238000	4123196.699000	29.073000
302090.232000	4123197.853000	29.073000
302090.219000	4123200.438000	29.074000
302090.216000	4123200.922000	29.074000
302090.204000	4123203.199000	29.074000
302090.202000	4123203.584000	29.074000
302090.193000	4123205.248000	29.075000
302090.192000	4123205.453000	29.075000
302090.183000	4123207.322000	29.076000
302090.178000	4123208.316000	29.076000
302090.176000	4123208.546000	29.076000
302090.168000	4123210.030000	29.076000
302090.160000	4123211.560000	29.076000
302090.155000	4123212.642000	29.076000
302090.146000	4123214.268000	29.076000
302090.134000	4123216.685000	29.077000
302090.130000	4123217.490000	29.078000
302090.120000	4123219.332000	29.078000
302090.112000	4123220.866000	29.078000
302090.103000	4123222.693000	29.078000
302090.096000	4123224.040000	29.079000
302090.095000	4123224.088000	29.079000
302090.089000	4123225.341000	29.079000
302090.082000	4123226.597000	29.080000
302090.072000	4123228.702000	29.080000
302090.065000	4123229.973000	29.080000
302090.056000	4123231.608000	29.081000
302090.047000	4123233.244000	29.081000
302090.043000	4123233.997000	29.081000
302090.034000	4123235.856000	29.081000
302090.021000	4123238.470000	29.081000
302090.014000	4123239.688000	29.082000
302090.004000	4123241.739000	29.083000
302089.991000	4123244.224000	29.083000
302089.985000	4123245.381000	29.083000
302089.976000	4123247.167000	29.083000
302089.966000	4123248.954000	29.084000
302089.956000	4123250.774000	29.084000
302089.947000	4123252.594000	29.084000
302089.935000	4123254.813000	29.085000
302089.928000	4123256.169000	29.086000
302089.922000	4123257.381000	29.086000
302089.912000	4123259.350000	29.086000
302089.903000	4123261.077000	29.087000
302089.888000	4123263.865000	29.087000
302089.886000	4123264.253000	29.087000
302089.878000	4123265.713000	29.088000
302089.864000	4123268.439000	29.088000
302089.864000	4123268.501000	29.088000
302089.854000	4123270.348000	29.089000
302089.851000	4123270.891000	29.089000
302089.841000	4123272.984000	29.089000
302089.838000	4123273.421000	29.089000
302089.830000	4123275.077000	29.089000
302089.822000	4123276.544000	29.090000
302089.817000	4123277.529000	29.090000
302089.806000	4123279.617000	29.090000
302089.798000	4123281.178000	29.091000
302089.790000	4123282.739000	29.091000
302089.787000	4123283.521000	29.091000
302089.781000	4123284.611000	29.092000
302089.776000	4123285.546000	29.092000
302089.767000	4123287.214000	29.092000
302089.758000	4123288.883000	29.092000
302089.747000	4123290.908000	29.093000
302089.739000	4123292.476000	29.093000
302089.731000	4123294.044000	29.093000
302089.730000	4123294.244000	29.093000
302089.719000	4123296.270000	29.094000
302089.715000	4123297.103000	29.094000
302089.709000	4123298.296000	29.095000
302089.700000	4123300.161000	29.095000
302089.696000	4123300.847000	29.095000
302089.689000	4123302.176000	29.095000
302089.678000	4123304.306000	29.096000
302089.664000	4123307.000000	29.096000
302089.649000	4123309.694000	29.096000
302089.635000	4123312.448000	29.097000
302089.631000	4123313.153000	29.097000
302089.623000	4123314.737000	29.097000
302089.615000	4123316.321000	29.097000
302089.614000	4123316.580000	29.098000
302089.601000	4123318.992000	29.098000
302089.598000	4123319.573000	29.099000
302089.592000	4123320.854000	29.099000
302089.582000	4123322.741000	29.099000
302089.573000	4123324.367000	29.099000
302089.564000	4123325.993000	29.100000
302089.563000	4123326.271000	29.100000
302089.560000	4123326.821000	29.100000
302089.558000	4123327.301000	29.100000
302089.549000	4123328.923000	29.101000
302089.541000	4123330.546000	29.101000
302089.541000	4123330.553000	29.101000
302089.533000	4123332.170000	29.101000
302089.524000	4123333.788000	29.101000
302089.522000	4123334.097000	29.102000
302089.507000	4123337.040000	29.103000
302089.503000	4123337.812000	29.103000
302089.490000	4123340.276000	29.103000
302089.476000	4123342.934000	29.103000
302089.463000	4123345.318000	29.103000
302089.459000	4123346.045000	29.103000
302089.448000	4123348.123000	29.103000
302089.445000	4123348.703000	29.103000
302089.433000	4123350.928000	29.103000
302089.428000	4123351.815000	29.103000
302089.418000	4123353.661000	29.103000
302089.408000	4123355.508000	29.103000
302089.402000	4123356.538000	29.103000
302089.396000	4123357.735000	29.103000
302089.384000	4123359.962000	29.103000
302089.374000	4123361.809000	29.103000
302089.364000	4123363.656000	29.103000
302089.362000	4123364.043000	29.103000
302089.352000	4123365.882000	29.103000
302089.340000	4123368.096000	29.103000
302089.331000	4123369.653000	29.103000
302089.328000	4123370.323000	29.103000
302089.312000	4123373.303000	29.103000
302089.311000	4123373.406000	29.103000
302089.298000	4123375.892000	29.103000
302089.292000	4123377.088000	29.103000
302089.278000	4123379.645000	29.103000
302089.276000	4123380.067000	29.103000
302089.261000	4123382.769000	29.103000
302089.255000	4123383.852000	29.103000
302089.251000	4123384.645000	29.103000
302089.241000	4123386.521000	29.103000
302089.239000	4123386.903000	29.103000
302089.230000	4123388.545000	29.103000
302089.222000	4123389.990000	29.103000
302089.220000	4123390.422000	29.104000
302089.209000	4123392.446000	29.104000
302089.206000	4123393.042000	29.104000
302089.199000	4123394.322000	29.104000
302089.189000	4123396.129000	29.104000
302089.188000	4123396.346000	29.104000
302089.177000	4123398.370000	29.104000
302089.170000	4123399.616000	29.104000
302089.157000	4123401.894000	29.104000
302089.146000	4123403.970000	29.104000
302089.134000	4123406.248000	29.104000
302089.132000	4123406.467000	29.104000
302089.123000	4123408.324000	29.104000
302089.110000	4123410.602000	29.104000
302089.098000	4123412.884000	29.104000
302089.086000	4123415.162000	29.104000
302089.074000	4123417.445000	29.104000
302089.059000	4123420.173000	29.104000
302089.053000	4123421.278000	29.104000
302089.051000	4123421.695000	29.104000
302089.042000	4123423.340000	29.104000
302089.033000	4123424.985000	29.104000
302089.025000	4123426.543000	29.104000
302089.024000	4123426.743000	29.104000
302089.014000	4123428.508000	29.104000
302089.006000	4123430.088000	29.104000
302088.997000	4123431.797000	29.104000
302088.991000	4123432.772000	29.104000
302088.977000	4123435.320000	29.104000
302088.977000	4123435.456000	29.104000
302088.963000	4123438.088000	29.104000
302088.955000	4123439.516000	29.104000
302088.945000	4123441.374000	29.104000
302088.932000	4123443.675000	29.104000
302088.930000	4123444.142000	29.104000
302088.921000	4123445.785000	29.104000
302088.912000	4123447.428000	29.104000
302088.900000	4123449.805000	29.104000
302088.892000	4123451.280000	29.104000
302088.885000	4123452.509000	29.104000
302088.872000	4123454.886000	29.105000
302088.867000	4123455.761000	29.105000
302088.857000	4123457.591000	29.105000
302088.843000	4123460.243000	29.105000
302088.842000	4123460.323000	29.105000
302088.828000	4123463.028000	29.105000
302088.814000	4123465.760000	29.105000
302088.811000	4123466.278000	29.105000
302088.799000	4123468.464000	29.105000
302088.790000	4123470.212000	29.105000
302088.780000	4123471.960000	29.106000
302088.778000	4123472.313000	29.106000
302088.763000	4123475.184000	29.106000
302088.755000	4123476.794000	29.106000
302088.747000	4123478.404000	29.106000
302088.745000	4123478.680000	29.106000
302088.730000	4123481.421000	29.106000
302088.728000	4123481.903000	29.106000
302088.724000	4123482.710000	29.106000
302088.709000	4123485.378000	29.107000
302088.707000	4123485.728000	29.107000
302088.698000	4123487.384000	29.107000
302088.690000	4123489.040000	29.107000
302088.681000	4123490.778000	29.107000
302088.672000	4123492.516000	29.107000
302088.669000	4123493.108000	29.107000
302088.660000	4123494.642000	29.107000
302088.652000	4123496.177000	29.107000
302088.637000	4123498.897000	29.107000
302088.624000	4123501.386000	29.107000
302088.609000	4123504.106000	29.108000
302088.603000	4123505.178000	29.108000
302088.595000	4123506.595000	29.108000
302088.581000	4123509.314000	29.108000
302088.576000	4123510.377000	29.108000
302088.568000	4123511.804000	29.108000
302088.562000	4123512.976000	29.108000
302088.554000	4123514.524000	29.108000
