<Property>
LANETYPE = 111
LANECODE = 01
BARRIER = 99
CODE = 1
----------
<Data>
x	y	z
302210.636000	4122602.578000	29.188000
302211.104000	4122605.407000	29.178000
302211.573000	4122608.235000	29.167000
302212.042000	4122611.063000	29.156000
302212.510000	4122613.891000	29.146000
302212.979000	4122616.720000	29.135000
302213.447000	4122619.548000	29.125000
302213.916000	4122622.376000	29.114000
302214.384000	4122625.204000	29.103000
302214.853000	4122628.033000	29.093000
302215.321000	4122630.861000	29.082000
302215.790000	4122633.689000	29.072000
302216.259000	4122636.517000	29.061000
302216.727000	4122639.346000	29.050000
302217.196000	4122642.174000	29.040000
302217.664000	4122645.002000	29.029000
302218.133000	4122647.830000	29.019000
