<Property>
ROADTYPE = 1
CODE = 5


----------
<Data>
x	y	z
301994.095000	4122753.000000	29.084000
301994.236000	4122752.972000	29.083000
301994.902000	4122752.841000	29.080000
301996.427000	4122752.540000	29.078000
301997.929000	4122752.244000	29.076000
301999.409000	4122751.952000	29.074000
302002.315000	4122751.380000	29.034000
302005.220000	4122750.807000	28.993000
302005.540000	4122750.752000	28.989000
302006.963000	4122750.504000	28.988000
302008.407000	4122750.252000	28.987000
302009.485000	4122750.064000	28.986000
302011.260000	4122749.755000	28.990000
302013.034000	4122749.446000	28.994000
302014.476000	4122749.195000	28.992000
302015.973000	4122748.934000	28.990000
302016.072000	4122748.917000	28.990000
302018.642000	4122748.444000	28.985000
302020.115000	4122748.173000	28.982000
302021.626000	4122747.895000	28.979000
302024.506000	4122747.365000	28.968000
302025.984000	4122747.093000	28.965000
302027.502000	4122746.813000	28.963000
302028.151000	4122746.694000	28.962000
302030.083000	4122746.378000	28.961000
302030.422000	4122746.322000	28.961000
302030.804000	4122746.260000	28.960000
302031.949000	4122746.068000	28.958000
302032.766000	4122745.931000	28.959000
302033.858000	4122745.722000	28.958000
302035.358000	4122745.434000	28.954000
302036.219000	4122745.269000	28.952000
302036.262000	4122745.261000	28.952000
302036.853000	4122745.097000	28.947000
302037.500000	4122744.918000	28.947000
302038.867000	4122744.572000	28.946000
302038.920000	4122744.558000	28.946000
302039.819000	4122744.425000	28.945000
302039.889000	4122744.415000	28.945000
302041.425000	4122744.198000	28.953000
302041.592000	4122744.180000	28.954000
302043.125000	4122744.017000	28.953000
302043.204000	4122744.009000	28.953000
302043.656000	4122743.970000	28.956000
302044.173000	4122743.925000	28.955000
302044.619000	4122743.887000	28.956000
302044.637000	4122743.885000	28.956000
302045.060000	4122743.810000	28.956000
302045.060000	4122743.810000	28.956000
302045.945000	4122743.652000	28.956000
302047.828000	4122743.315000	28.970000
302049.056000	4122743.111000	28.979000
302049.056000	4122743.111000	28.979000
302050.797000	4122742.821000	28.979000
302051.745000	4122742.664000	28.986000
302051.770000	4122742.659000	28.986000
302051.772000	4122742.659000	28.986000
302053.277000	4122742.383000	28.991000
302055.232000	4122742.025000	28.990000
302056.086000	4122741.887000	28.990000
302056.828000	4122741.767000	28.993000
302057.572000	4122741.647000	28.995000
302057.899000	4122741.594000	28.995000
302058.106000	4122741.561000	28.956000
