<Property>
LANETYPE = 211
LANECODE = 07
BARRIER = 99
CODE = 1
----------
<Data>
x	y	z
302602.696000	4124013.190000	28.392000
302602.663000	4124013.919000	28.387000
302602.741000	4124014.727000	28.377000
302603.012000	4124016.883000	28.357000
302603.367000	4124019.845000	28.347000
302603.722000	4124022.806000	28.336000
302603.769000	4124023.196000	28.335000
302604.116000	4124026.160000	28.332000
302604.464000	4124029.124000	28.329000
302604.488000	4124029.326000	28.329000
302604.850000	4124032.295000	28.330000
302605.213000	4124035.264000	28.332000
302605.363000	4124036.489000	28.332000
302605.611000	4124038.741000	28.331000
302605.689000	4124040.088000	28.330000
302605.736000	4124043.079000	28.342000
302605.767000	4124044.980000	28.350000
302605.805000	4124046.938000	28.347000
