<Property>
LANETYPE = 212
LANECODE = 03
BARRIER = 99
CODE = 1
----------
<Data>
x	y	z
302323.902000	4122905.373000	28.514000
302324.543000	4122903.301000	28.499000
302324.549000	4122903.279000	28.499000
302325.293000	4122900.373000	28.537000
302325.901000	4122897.963000	28.491000
302325.987000	4122897.539000	28.488000
302326.583000	4122894.599000	28.465000
302326.924000	4122892.452000	28.477000
302327.171000	4122890.566000	28.488000
302327.187000	4122890.460000	28.488000
302327.622000	4122887.492000	28.501000
302327.654000	4122887.270000	28.508000
302328.341000	4122882.061000	28.530000
302328.568000	4122880.039000	28.551000
302328.772000	4122877.777000	28.570000
302328.957000	4122874.889000	28.595000
302329.139000	4122872.488000	28.619000
302329.189000	4122869.724000	28.637000
302329.312000	4122866.675000	28.651000
302329.286000	4122863.712000	28.666000
302329.266000	4122861.077000	28.681000
302329.266000	4122861.077000	28.681000
302329.161000	4122858.531000	28.699000
302329.074000	4122856.179000	28.714000
302329.074000	4122856.179000	28.714000
302328.883000	4122853.491000	28.733000
302328.716000	4122850.664000	28.761000
302328.716000	4122850.664000	28.761000
302328.571000	4122848.845000	28.777000
302328.352000	4122846.435000	28.798000
302327.966000	4122843.549000	28.816000
302327.966000	4122843.549000	28.816000
302327.966000	4122843.549000	28.816000
302327.585000	4122840.440000	28.857000
302326.996000	4122836.674000	28.895000
302326.996000	4122836.674000	28.895000
302326.555000	4122834.026000	28.930000
302326.046000	4122831.499000	28.980000
302326.046000	4122831.499000	28.980000
302325.208000	4122827.938000	29.052000
302325.208000	4122827.938000	29.052000
302324.489000	4122824.930000	29.125000
302323.780000	4122822.367000	29.139000
302323.072000	4122819.944000	29.196000
302323.072000	4122819.944000	29.196000
302322.565000	4122818.179000	29.173000
