302493.0479840	4123757.4133430	28.3450520
302493.0493910	4123757.3642710	28.3450510
302493.0507910	4123757.3147100	28.3450500
302493.0521910	4123757.2646610	28.3450480
302493.0535800	4123757.2143680	28.3450470
302493.0549650	4123757.1634650	28.3450450
302493.0563000	4123757.1140260	28.3450430
302493.0576230	4123757.0643440	28.3450420
302493.0589470	4123757.0142950	28.3450400
302493.0602670	4123756.9641240	28.3450380
302493.0615830	4123756.9137090	28.3450370
302493.0628760	4123756.8636600	28.3450350
302493.0641660	4123756.8139780	28.3450330
302493.0654470	4123756.7639290	28.3450320
302493.0667290	4123756.7138800	28.3450300
302493.0680110	4123756.6638310	28.3450280
302493.0692850	4123756.6136600	28.3450260
302493.0705590	4123756.5634890	28.3450240
302493.0718330	4123756.5135630	28.3450230
302493.0731040	4123756.4635140	28.3450210
302493.0743780	4123756.4135870	28.3450190
302493.0756520	4123756.3636600	28.3450170
302493.0769370	4123756.3133670	28.3450160
302493.0782300	4123756.2631960	28.3450140
302493.0795200	4123756.2131470	28.3450120
302493.0808170	4123756.1632210	28.3450100
302493.0821100	4123756.1135380	28.3450090
302493.0834260	4123756.0633670	28.3450070
302493.0847610	4123756.0129520	28.3450050
302493.0861040	4123755.9627810	28.3450040
302493.0874470	4123755.9128540	28.3450020
302493.0887970	4123755.8632940	28.3450010
302493.0901700	4123755.8134890	28.3449990
302493.0915900	4123755.7627080	28.3449970
302493.0930120	4123755.7124150	28.3449960
302493.0944430	4123755.6624880	28.3449950
302493.0958810	4123755.6131720	28.3449930
302493.0973570	4123755.5634890	28.3449920
302493.0989020	4123755.5123420	28.3449910
302493.1004550	4123755.4619270	28.3449900
302493.1020190	4123755.4122440	28.3449890
302493.1035940	4123755.3634160	28.3449880
302493.1052650	4123755.3128790	28.3449870
302493.1070010	4123755.2617310	28.3449860
302493.1087520	4123755.2116830	28.3449850
302493.1105180	4123755.1627320	28.3449850
302493.1123610	4123755.1134160	28.3449840
302493.1143670	4123755.0615360	28.3449840
302493.1164000	4123755.0112430	28.3449840
302493.1203140	4123754.9347050	28.3450520
302493.0727220	4123754.9326300	28.3450520
302493.0245650	4123754.9304330	28.3450520
302492.9758630	4123754.9283570	28.3450510
302492.9266270	4123754.9261600	28.3450510
302492.8768830	4123754.9239630	28.3450500
302492.8266440	4123754.9217660	28.3450500
302492.7759270	4123754.9195680	28.3450490
302492.7247490	4123754.9172490	28.3450490
302492.6731330	4123754.9150520	28.3450480
302492.6210850	4123754.9127320	28.3450470
302492.5721420	4123754.9105350	28.3450470
302492.5233560	4123754.9084600	28.3450460
302492.4742490	4123754.9062630	28.3450460
302492.4248300	4123754.9040650	28.3450450
302492.3751210	4123754.9018680	28.3450450
302492.3251290	4123754.8996710	28.3450440
302492.2748700	4123754.8974740	28.3450440
302492.2243560	4123754.8952760	28.3450430
302492.1736060	4123754.8930790	28.3450430
302492.1226260	4123754.8908820	28.3450420
302492.0714360	4123754.8885630	28.3450420
302492.0220170	4123754.8864870	28.3450410
302491.9726020	4123754.8842900	28.3450400
302491.9230220	4123754.8820930	28.3450400
302491.8732970	4123754.8798960	28.3450390
302491.8234390	4123754.8776980	28.3450390
302491.7734570	4123754.8756230	28.3450380
302491.7233640	4123754.8734260	28.3450380
302491.6731690	4123754.8712290	28.3450370
302491.6228870	4123754.8690310	28.3450370
302491.5725310	4123754.8668340	28.3450360
302491.5221120	4123754.8646370	28.3450350
302491.4718940	4123754.8624390	28.3450350
302491.4219020	4123754.8602420	28.3450340
302491.3718840	4123754.8580450	28.3450340
302491.3218520	4123754.8558480	28.3450330
302491.2718130	4123754.8536500	28.3450330
302491.2217850	4123754.8514530	28.3450320
302491.1717730	4123754.8493780	28.3450310
302491.1217920	4123754.8471810	28.3450310
302491.0718520	4123754.8449830	28.3450300
302491.0219670	4123754.8427860	28.3450300
302490.9721480	4123754.8405890	28.3450290
302490.9224040	4123754.8385140	28.3450290
302490.8717750	4123754.8361940	28.3450280
302490.8211790	4123754.8339970	28.3450270
302490.7707030	4123754.8318000	28.3450270
302490.7203550	4123754.8296030	28.3450260
302490.6701460	4123754.8274050	28.3450260
302490.6200930	4123754.8252080	28.3450250
302490.5702040	4123754.8230110	28.3450250
302490.5204950	4123754.8209360	28.3450240
302490.4709780	4123754.8187380	28.3450240
302490.4216620	4123754.8165410	28.3450230
302490.3725630	4123754.8143440	28.3450220
302490.3220140	4123754.8122690	28.3450220
302490.2706950	4123754.8099490	28.3450210
302490.2196600	4123754.8076300	28.3450210
302490.1689230	4123754.8054330	28.3450200
302490.1184930	4123754.8033570	28.3450200
302490.0683940	4123754.8010380	28.3450190
302490.0186330	4123754.7988410	28.3450190
302489.9692250	4123754.7967660	28.3450180
302489.9201890	4123754.7945680	28.3450180
302489.8715390	4123754.7924930	28.3450170
302489.8232870	4123754.7902960	28.3450170
302489.7712580	4123754.7879770	28.3450160
302489.7192850	4123754.7857790	28.3450160
302489.6678430	4123754.7834600	28.3450150
302489.6169610	4123754.7811410	28.3450150
302489.5666510	4123754.7790650	28.3450140
302489.5169340	4123754.7768680	28.3450140
302489.4678290	4123754.7746710	28.3450130
302489.4193560	4123754.7724740	28.3450130
302489.3715330	4123754.7702760	28.3450120
302489.3234010	4123754.7682010	28.3450120
302489.2698160	4123754.7657600	28.3450110
302489.2171810	4123754.7635630	28.3450110
302489.1655240	4123754.7612430	28.3450100
302489.1148740	4123754.7589240	28.3450100
302489.0652660	4123754.7567270	28.3450100
302489.0167200	4123754.7545290	28.3450090
302488.9692750	4123754.7524540	28.3450090
