<Property>
LANETYPE = 211
LANECODE = 07
BARRIER = 99
CODE = 1
----------
<Data>
x	y	z
302218.328000	4122597.573000	29.229000
302217.644000	4122597.720000	29.203000
302217.044000	4122597.913000	29.206000
302216.451000	4122598.190000	29.204000
302215.759000	4122598.582000	29.204000
302214.991000	4122599.166000	29.199000
302214.794000	4122599.364000	29.199000
302214.434000	4122599.728000	29.197000
302214.055000	4122600.212000	29.197000
302213.678000	4122600.886000	29.196000
302213.359000	4122601.608000	29.208000
302213.147000	4122602.285000	29.201000
