<Property>
ROADTYPE = 1
CODE = 5


----------
<Data>
x	y	z
302604.108000	4123291.514000	28.530000
302603.734000	4123291.722000	28.530000
302602.660000	4123292.320000	28.532000
302601.410000	4123293.017000	28.534000
302601.233000	4123293.115000	28.533000
302599.848000	4123293.886000	28.530000
302599.063000	4123294.323000	28.531000
302598.972000	4123294.374000	28.531000
302598.375000	4123294.707000	28.531000
302598.278000	4123294.762000	28.531000
302597.032000	4123295.472000	28.529000
302596.369000	4123295.850000	28.529000
302595.755000	4123296.200000	28.528000
302594.742000	4123296.778000	28.526000
302594.408000	4123296.943000	28.526000
302593.791000	4123297.247000	28.524000
302593.657000	4123297.313000	28.524000
302593.017000	4123297.628000	28.523000
302591.612000	4123298.320000	28.521000
302590.966000	4123298.639000	28.519000
302590.413000	4123298.911000	28.518000
302590.344000	4123298.945000	28.518000
302590.141000	4123299.037000	28.518000
302588.830000	4123299.627000	28.515000
302586.973000	4123300.464000	28.519000
302585.846000	4123300.972000	28.516000
302585.820000	4123300.984000	28.516000
302585.093000	4123301.259000	28.516000
302583.706000	4123301.785000	28.511000
302581.868000	4123302.482000	28.510000
302581.644000	4123302.566000	28.510000
302581.368000	4123302.670000	28.510000
302580.661000	4123302.936000	28.511000
302579.080000	4123303.531000	28.512000
302578.392000	4123303.790000	28.513000
302578.246000	4123303.845000	28.513000
302578.239000	4123303.848000	28.513000
