-139.141647136	-555.909920448
-139.388698446	-555.942166362
-139.777285926	-556.022816226
-140.315328491	-556.2060909
-141.044084136	-556.415124546
-141.862761618	-556.644049701
-142.754540122	-556.883221677
-143.731500554	-557.108145545
-144.731430187	-557.198617036
-145.734638561	-557.040566633
-146.66327609	-556.552760723
-147.440882909	-555.708570384
-147.99421703	-554.591772705
-148.283993535	-553.426553343
-148.469950659	-552.664357978
-148.542489904	-552.277094914
-148.62409872	-551.961112709
-148.68554093	-551.704425606
-148.763756366	-551.322514063
-148.899657984	-550.774916337
-149.086567304	-549.84943481
-149.307784116	-548.837712811
-149.391817893	-548.37522555
-149.427312226	-548.110530348
-149.500187943	-547.3886286
-149.549053944	-546.947205499
-149.520077287	-547.102125815
-149.514448833	-547.246942411
